TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0055085	"transmembrane transport"	-104.09528445472132	6.721216453410256	12.953593503918547	0.955121894870286	0.54364926	null
GO:0065008	"regulation of biological quality"	-92.93181413825384	6.0900643235623235	3.028571729559731	0.8161914281566235	0	null
GO:0098660	"inorganic ion transmembrane transport"	-91.4202164033832	6.190487735959	3.8164655749516183	0.9576667728268471	0	null
GO:0034220	"monoatomic ion transmembrane transport"	-88.79588001734407	6.242153421106761	4.298600312266925	0.9451912603591319	0.55485039	null
GO:0006811	"monoatomic ion transport"	-84.80410034759076	6.300613307421874	4.917982551075166	0.966893204001819	0.43782681	null
GO:0098662	"inorganic cation transmembrane transport"	-78.94309514866353	6.125479313810896	3.285888950351606	0.9510380012846191	0.53254035	null
GO:0043269	"regulation of monoatomic ion transport"	-75.46092390120722	4.9822576611249465	0.2362800371821821	0.7432974539984123	0.19229267	null
GO:0042391	"regulation of membrane potential"	-73.85387196432177	5.197861985482968	0.3881799727488847	0.7936191472070183	0.20284288	null
GO:0023052	"signaling"	-61.77989191195994	6.571894386105714	9.184767415191992	0.7865753143042847	0.35535048	null
GO:0044057	"regulation of system process"	-51.26760624017703	4.786630768031185	0.15059049580066114	0.7687578998286644	0.18362682	null
GO:0032879	"regulation of localization"	-51.0395292224657	5.565863160327171	0.9058074195121588	0.8261809381858242	0.2238009	null
GO:0051239	"regulation of multicellular organismal process"	-50.53165266958784	5.543332844310566	0.8600139479948613	0.8268941938430467	0.2223941	null
GO:1903522	"regulation of blood circulation"	-49.7281583934635	4.515357149738369	0.08063392243518777	0.7640831736834187	0.69230565	null
GO:0007268	"chemical synaptic transmission"	-46.37059040089728	5.28154694070609	0.47067221665655623	0.7831162930198917	0.41580796	null
GO:0006120	"mitochondrial electron transport, NADH to ubiquinone"	-45.835647144215564	4.364532234927959	0.056975397940467847	0.9798055085836587	0.01392745	null
GO:0003008	"system process"	-45.09636748391576	5.658049574713654	1.1200115821424117	0.9007633917044988	0	null
GO:0032501	"multicellular organismal process"	-44.643974142806876	6.163132142633867	3.5834862120669206	1	0	null
GO:0007267	"cell-cell signaling"	-44.49620931694282	5.406652571520464	0.6278049885815375	0.7949542556911932	0.21422493	null
GO:0007154	"cell communication"	-43.59006687666871	6.574350790896292	9.236864411598072	0.9914670871578168	0.02647525	null
GO:0018108	"peptidyl-tyrosine phosphorylation"	-43.10679324694015	3.9444826721501687	0.02165744455150236	0.9639163953096589	0.44726651	null
GO:0018212	"peptidyl-tyrosine modification"	-43.10679324694015	4.14992695911359	0.03475922627074853	0.9776948970416435	0.02950354	null
GO:0060078	"regulation of postsynaptic membrane potential"	-42.180456064458134	4.801389988015998	0.15579625727655924	0.7921872207553268	0.56444985	null
GO:0010257	"NADH dehydrogenase complex assembly"	-41.835647144215564	4.6187695770752395	0.1023135191631833	0.9758127613441284	0.52287968	null
GO:0032981	"mitochondrial respiratory chain complex I assembly"	-41.835647144215564	4.590050069147028	0.09576632033297576	0.974712208368957	0.01463534	null
GO:0033238	"regulation of amine metabolic process"	-41.12205304837081	4.055416559840489	0.027960969440284898	0.8534518092289847	0.18973901	null
GO:0050896	"response to stimulus"	-39.81247927916354	6.83782868559364	16.94347616187058	1	0	null
GO:0007187	"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"	-39.24184537803261	4.273232834043045	0.046172519870625386	0.7668395486415184	0.3400966	null
GO:0006521	"regulation of cellular amino acid metabolic process"	-37.29413628771608	4.036149629745853	0.02674752243904718	0.8427029470058545	0.15655915	null
GO:0007166	"cell surface receptor signaling pathway"	-36.54515513999149	5.8500516596084555	1.7427092633657988	0.7097062566782184	0.47548795	null
GO:0006468	"protein phosphorylation"	-35.35359627377693	6.183647586752504	3.756826993126081	0.9460354624147694	0.40652725	null
GO:0042221	"response to chemical"	-35.35163998901907	6.242583414694064	4.302858452859503	0.888487787675385	0	null
GO:0000165	"MAPK cascade"	-35.170696227168975	4.759176625403369	0.14136534496772205	0.7548185636808783	0.37281208	null
GO:0038061	"non-canonical NF-kappaB signal transduction"	-34.94309514866353	3.518908573691414	0.00812738742005464	0.793794129021903	0.60113703	null
GO:0023051	"regulation of signaling"	-34.7825160557861	5.9013275229365645	1.9611051100591508	0.8147890928720768	0.2470716	null
GO:0051179	"localization"	-34.410050398674294	6.901755360044326	19.630402257434774	1	0	null
GO:0007188	"adenylate cyclase-modulating G protein-coupled receptor signaling pathway"	-33.9100948885606	5.149249912590282	0.34707291723636735	0.733741350729293	0.62380413	null
GO:0042592	"homeostatic process"	-32.494850021680094	5.894315508737042	1.9296957851447603	1	0	null
GO:0010647	"positive regulation of cell communication"	-32.28650945690606	5.4174351544632025	0.643587183656459	0.7142557547838565	0.21484752	null
GO:0050801	"monoatomic ion homeostasis"	-32.235077015350114	5.666189327431937	1.1412013696346135	0.9678118054433965	0	null
GO:0035556	"intracellular signal transduction"	-32.18976748200492	6.25082994866753	4.385343312708344	0.6861201400810947	0.61586777	null
GO:0023056	"positive regulation of signaling"	-32.05453141486818	5.416911648736081	0.6428118574791976	0.7222794155651974	0.59082699	null
GO:0006357	"regulation of transcription by RNA polymerase II"	-31.99567862621736	6.230801833816229	4.1876991326832185	0.777235491705654	0.29151992	null
GO:0006816	"calcium ion transport"	-31.958607314841775	5.250861391984317	0.4385638675061586	0.9595258565567096	0.66791706	null
GO:1902036	"regulation of hematopoietic stem cell differentiation"	-31.43533393574791	2.8796692056320534	0.0018632441783710974	0.8552387155628128	0.12756958	null
GO:0002479	"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent"	-31.15614457737684	0.6020599913279624	0.000007384058831061151	0.9753579098921226	0	null
GO:0010646	"regulation of cell communication"	-31.022733787572708	5.899918945937375	1.9547548194644382	0.8067692181943183	0.29486732	null
GO:0031146	"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process"	-29.47237009912866	4.698074434949801	0.12281166647820907	0.9655528201766502	0.18417672	null
GO:1901700	"response to oxygen-containing compound"	-29.372634143407268	5.564509832144328	0.9029891703916372	0.8582597438414188	0.37551818	null
GO:0070498	"interleukin-1-mediated signaling pathway"	-29.1890957193313	3.2518814545525276	0.0043935150044813855	0.7650650373048437	0.40848375	null
GO:0022900	"electron transport chain"	-28.779891911959943	5.5178896866418805	0.8110773287684753	0.976805048595875	0.59056847	null
GO:0051716	"cellular response to stimulus"	-28.661543506395397	6.749069834706852	13.811589142499587	0.8695230787871794	0.57534943	null
GO:0009987	"cellular process"	-28.407823242604135	7.481258236372406	74.54733381080298	1	0	null
GO:0050852	"T cell receptor signaling pathway"	-27.99567862621736	4.319501639056495	0.05136351322886137	0.6365621207299359	0.47252344	null
GO:1901532	"regulation of hematopoietic progenitor cell differentiation"	-27.96657624451305	3.2227164711475833	0.004107998063013687	0.849057870545882	0.52657454	null
GO:0002474	"antigen processing and presentation of peptide antigen via MHC class I"	-27.943095148663527	3.7861122837198264	0.01503886648592788	0.9653802286643042	0.66884921	null
GO:0065007	"biological regulation"	-27.661543506395397	7.055508065118343	27.969320810822822	1	0	null
GO:0050877	"nervous system process"	-27.54060751224077	5.560037013445795	0.8937369446763176	0.8835365961643337	0.69701932	null
GO:0010972	"negative regulation of G2/M transition of mitotic cell cycle"	-26.714442690992225	4.549518221241424	0.08723280967721277	0.8086334156066721	0.17411604	null
GO:0016310	"phosphorylation"	-26.593459819566046	6.404965865659897	6.253736641437635	0.9629691114703828	0.59655615	null
GO:0014070	"response to organic cyclic compound"	-26.374687549038327	4.89256205278148	0.19218982190191597	0.8735820542988413	0.54928328	null
GO:0033209	"tumor necrosis factor-mediated signaling pathway"	-26.373659632624957	4.119816545937216	0.03243078638602058	0.7374103877879431	0.67180951	null
GO:0007204	"positive regulation of cytosolic calcium ion concentration"	-26.369572124974976	4.557483140603017	0.08884745720827146	0.8131274142428663	0.53924517	null
GO:0009410	"response to xenobiotic stimulus"	-26.03574036980315	4.82675488069819	0.16516662793317585	0.8749028357933596	0.54179378	null
GO:0007186	"G protein-coupled receptor signaling pathway"	-25.567030709125593	5.774433748393295	1.464221945905271	0.713750864896905	0.53421354	null
GO:0060071	"Wnt signaling pathway, planar cell polarity pathway"	-25.316052869248487	3.228400358703005	0.004162147827774802	0.7936550782522385	0.28610433	null
GO:0009719	"response to endogenous stimulus"	-25.057991946977687	5.524614188342792	0.8237336056049143	0.903431376974552	0.37117626	null
GO:1901698	"response to nitrogen compound"	-24.950781977329818	5.194450511165822	0.3851426632163749	0.8671384386612223	0.58647438	null
GO:2000736	"regulation of stem cell differentiation"	-24.80966830182971	3.5524248457040857	0.008779645950131709	0.8425957651759713	0.56856179	null
GO:0071495	"cellular response to endogenous stimulus"	-24.79317412396815	5.451290473578162	0.6957654047096807	0.8823452957839004	0.36345271	null
GO:0033674	"positive regulation of kinase activity"	-24.667561540084396	4.885191540606848	0.1889556041339112	0.7112324436724698	0.56228892	null
GO:0048584	"positive regulation of response to stimulus"	-24.01772876696043	5.541162220926623	0.8557262711669584	0.7110129934794623	0.60806339	null
GO:0090175	"regulation of establishment of planar polarity"	-23.694648630553377	2.550228353055094	0.0008713189420652158	0.868086769953893	0.37151543	null
GO:0019933	"cAMP-mediated signaling"	-23.657577319177793	3.9228810912082936	0.020606446844547988	0.7825560826672904	0.63830098	null
GO:0010499	"proteasomal ubiquitin-independent protein catabolic process"	-23.481486060122112	3.727703883685354	0.013146086072232539	0.9709601389999631	0.60298943	null
