TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000082"	"G1/S transition of mitotic cell cycle"	-3.290730039024169	4.261786086565754	0.0449713796341061	0.9910233489410974	0.62253737	null
"GO:0044843"	"cell cycle G1/S phase transition"	-3.209011524911184	4.265643141942135	0.04537258016392709	0.991018842894637	0.84068986	82
"GO:0000165"	"MAPK cascade"	-35.170696227168975	4.759176625403369	0.14136534496772205	0.7548185636808783	0.37281208	null
"GO:0019722"	"calcium-mediated signaling"	-7.856985199745905	4.791922117501735	0.1524365105084264	0.7535848932476557	0.73619769	165
"GO:0000278"	"mitotic cell cycle"	-6.665546248849069	5.644649284426092	1.0859809163429945	0.9898226720658712	0.44769534	null
"GO:0000723"	"telomere maintenance"	-4.060480747381382	4.870193145234065	0.1825413183626627	0.9512330027134401	0.662576	null
"GO:0001101"	"response to acid chemical"	-10.158640529545146	4.828292459459625	0.16575242993377337	0.8748722976025853	0.54196644	null
"GO:0001666"	"response to hypoxia"	-6.889410289700751	4.481442628502305	0.07457653284077395	0.8982654371817447	0.6535022	null
"GO:0036293"	"response to decreased oxygen levels"	-7.002176919254275	4.486331281184666	0.0754207769004586	0.9030121630864343	0.97106719	1666
"GO:0036294"	"cellular response to decreased oxygen levels"	-3.1726307269461747	4.018367578387845	0.025674372555599623	0.862123773216201	0.92890782	1666
"GO:0071453"	"cellular response to oxygen levels"	-3.0888423912600236	4.062243441026478	0.028404012970148565	0.8613319001807468	0.90935915	1666
"GO:0001775"	"cell activation"	-9.57186520597121	4.785315595613992	0.150135145506079	0.9085298138965358	0.58391363	null
"GO:0001816"	"cytokine production"	-3.987162775294828	2.8639173769578603	0.001796787648891547	0.915987263005888	0.41631708	null
"GO:0001973"	"G protein-coupled adenosine receptor signaling pathway"	-4.939302159646388	3.6456187382426952	0.01088164136404045	0.7747048573602843	0.4952878	null
"GO:0035588"	"G protein-coupled purinergic receptor signaling pathway"	-3.238072161579471	3.6456187382426952	0.01088164136404045	0.7747048573602843	0.85907654	1973
"GO:0001975"	"response to amphetamine"	-5.892790030352131	2.884795363948981	0.0018853963548642809	0.889194862327636	0.48600913	null
"GO:0002237"	"response to molecule of bacterial origin"	-6.688246138944246	4.403360775765525	0.062304227063550315	0.9041719390069405	0.28014093	null
"GO:0002376"	"immune system process"	-12.649751981665837	5.567019304402755	0.9082220067499159	1	-0	null
"GO:0002474"	"antigen processing and presentation of peptide antigen via MHC class I"	-27.943095148663527	3.7861122837198264	0.01503886648592788	0.9653802286643042	0.66884921	null
"GO:0002478"	"antigen processing and presentation of exogenous peptide antigen"	-16.26121944151563	3.3100557377508912	0.00502362135806527	0.9670621192460538	0.90213138	2474
"GO:0019884"	"antigen processing and presentation of exogenous antigen"	-15.671620396561263	3.5659658174466666	0.009057778832768346	0.966696751893885	0.85907944	2474
"GO:0042590"	"antigen processing and presentation of exogenous peptide antigen via MHC class I"	-30.09366495819491	2.941511432634403	0.002148761119838795	0.968370139321623	0.86294309	2474
"GO:0048002"	"antigen processing and presentation of peptide antigen"	-16.407823242604135	3.944630701856278	0.02166482861033342	0.9650482383892641	0.90253622	2474
