TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0003824	"catalytic activity"	-164.8632794328436	7.442996037341388	60.53379149902957	1	0	null
GO:0036094	"small molecule binding"	-127.29413628771609	7.218235675531778	36.07758878384602	0.9386087557186598	0.08208992	null
GO:0000166	"nucleotide binding"	-99.69250396208679	6.9236120800790015	18.306860962763057	0.8449573909357949	0.48760658	null
GO:1901265	"nucleoside phosphate binding"	-99.62525165398989	6.924700864043428	18.352814171862295	0.9182116591297248	0.19719778	null
GO:0043168	"anion binding"	-91.48017200622428	6.927234817369778	18.460209307667203	0.8918962635744329	0.287058	null
GO:0043167	"ion binding"	-82.42481215507235	7.193200537570395	34.056684384615856	0.8817828298052834	0.47109462	null
GO:0097367	"carbohydrate derivative binding"	-64.51144928349956	6.848664424657691	15.405160165803492	0.9476091756129142	0.1537856	null
GO:0097159	"organic cyclic compound binding"	-58.91721462968355	7.252799553663059	39.06621935354991	0.9375899277590151	0.22682086	null
GO:1901363	"heterocyclic compound binding"	-57.95078197732982	6.960596100738509	19.934158544093723	0.893575248537642	0.48454807	null
GO:0016491	"oxidoreductase activity"	-54.4672456210075	6.705334884838153	11.074819433442528	0.9504517576105216	0.07513156	null
GO:0016740	"transferase activity"	-54.255707016877324	6.970537570542658	20.395735861748616	0.9460402515876113	0.10453304	null
GO:0016773	"phosphotransferase activity, alcohol group as acceptor"	-52.63264407897398	6.326354707261492	4.627605805937937	0.8523437104821957	0	null
GO:0016772	"transferase activity, transferring phosphorus-containing groups"	-49.66756154008439	6.5612178162308625	7.947298983522348	0.8697955706314897	0.45155328	null
GO:0140096	"catalytic activity, acting on a protein"	-43.221848749616356	6.72110016484991	11.48423146613743	0.9502099393857337	0.10554386	null
GO:0042802	"identical protein binding"	-35.283996656365204	5.33465677657078	0.4716899485272982	0.8855683783055027	0	null
GO:0016616	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	-32.471083299722345	5.895621966287966	1.716418824266202	0.8320941364100424	0.05550749	null
GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	-31.832682665251824	5.956898046912602	1.9765118486834359	0.8538053086402158	0.48988668	null
GO:0004713	"protein tyrosine kinase activity"	-29.210419287835574	5.136171804942558	0.2986554784692092	0.8398182055538841	0.52461959	null
GO:0051287	"NAD binding"	-27.565431095965803	5.58804973965771	0.8453770881747855	0.8936980977492605	0.04387426	null
GO:0042803	"protein homodimerization activity"	-19.782516055786093	4.868996902487136	0.16143321102790584	0.8945616980328048	0.38799225	null
GO:0005488	"binding"	-19.14266750356873	7.428322116042559	58.52264612691586	1	0	null
GO:0046914	"transition metal ion binding"	-18.53313237964589	6.454241915208814	6.212174084018391	0.9029065035782422	0.45449459	null
GO:0046906	"tetrapyrrole binding"	-18.299296282854982	5.874642401587303	1.6354741225022669	0.9419304552675944	0.12889927	null
GO:0016787	"hydrolase activity"	-17.20830935097988	7.005607044515442	22.11102402709146	0.9453986503045613	0.12785535	null
GO:0004715	"non-membrane spanning protein tyrosine kinase activity"	-17.011441043121383	4.442558154495923	0.060470607746414946	0.8558898838670421	0.44469823	null
GO:0050661	"NADP binding"	-16.89279003035213	5.492309102811401	0.6781246943482966	0.8961827755174004	0.34765155	null
GO:0046983	"protein dimerization activity"	-16.554395796726403	5.729996121186026	1.172187720026936	0.8766050137872379	0.46645967	null
GO:0043169	"cation binding"	-16.476253533188437	6.935587114255789	18.818669658416372	0.891517139770915	0.47439222	null
