TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
GO:0005886	"plasma membrane"	-78.28483264215154	6.8250353366409255	16.678688713171073	0.8333581404687394	0.42008808	null
GO:1902495	"transmembrane transporter complex"	-74.20481541031758	5.911502775617301	2.0353020718535517	0.7145599191159342	0	null
GO:1990351	"transporter complex"	-71.10457745396059	5.919102161041849	2.0712297209843	0.8398862905912279	0.34656457	null
GO:0098590	"plasma membrane region"	-53.510041520575164	5.528594071846178	0.8427900846375862	0.8659436350512503	0.08046296	null
GO:0043005	"neuron projection"	-45.96657624451305	5.66007202396096	1.1407689859397327	0.8990961249749341	0.00004102	null
GO:0043235	"receptor complex"	-45.296708621881336	5.247543666754485	0.44123285386133015	0.858689679879447	0.28905132	null
GO:0005576	"extracellular region"	-44.01055018233331	6.174372980219259	3.728201021160707	0.9999359052637026	0.00004778	null
GO:0016020	"membrane"	-38.48945498979339	7.300683746686734	49.86666869619539	0.9999065575227039	0.0000887	null
GO:0098796	"membrane protein complex"	-38.22841251911874	6.217715506193215	4.11947502912353	0.7993026277485445	0.38114424	null
GO:0031983	"vesicle lumen"	-36.709965388637485	3.5259513412480126	0.008374301325377915	0.8512188547460592	0.38007949	null
GO:0045202	"synapse"	-36.57675412606319	5.678394537381473	1.189926833409919	0.8571974593904609	0.00004122	null
GO:0031982	"vesicle"	-36.41566877563247	6.011084286139367	2.559826285649265	0.9169815643400822	0.00004935	null
GO:0042995	"cell projection"	-36.33161408331	5.9927862867668535	2.454214268576769	0.9999388426706914	0.00004906	null
GO:0060205	"cytoplasmic vesicle lumen"	-36.19928292171762	3.518382315545344	0.008229572637394624	0.8235637523776191	0.12755721	null
GO:0005615	"extracellular space"	-35.97881070093006	5.883056976362223	1.906263969905416	0.9367684108755153	0.0000437	null
GO:0043230	"extracellular organelle"	-32.46470587995723	4.534432273475876	0.0854173744544134	0.9010239325399664	0.5744217	null
GO:0070062	"extracellular exosome"	-31.26360349772336	4.493834322971856	0.07779416511322462	0.7912612288807425	0.56959219	null
GO:0031974	"membrane-enclosed lumen"	-29.671620396561263	6.224612300524052	4.185416413755364	0.9999350364596312	0.00005311	null
GO:0070013	"intracellular organelle lumen"	-29.671620396561263	6.224608157723124	4.185376488600058	0.8675434382015774	0.4841428	null
