TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000166"	"nucleotide binding"	-25.321481620959887	6.9236120800790015	18.306860962763057	0.9119966776441989	0.47691452	null
"GO:0005524"	"ATP binding"	-16.213958789757445	6.7540414686143135	12.389199518147217	0.9050049261973802	0.81616635	166
"GO:0017076"	"purine nucleotide binding"	-16.779891911959943	6.856312396219104	15.678849472911038	0.9142443499102403	0.77968614	166
"GO:0030554"	"adenyl nucleotide binding"	-18.38933983691012	6.804504440795216	13.91573749094518	0.9142495654742014	0.77267367	166
"GO:0032553"	"ribonucleotide binding"	-18.014124642691606	6.831938015194583	14.82312620076578	0.9098922415570968	0.8219815	166
"GO:0032555"	"purine ribonucleotide binding"	-17.158640529545146	6.818019653776024	14.355603101436715	0.909336756672171	0.81039353	166
"GO:0032559"	"adenyl ribonucleotide binding"	-19.03058408764602	6.761199898143712	12.595101675595052	0.9106908344376011	0.73439014	166
"GO:0035639"	"purine ribonucleoside triphosphate binding"	-14.559090917934782	6.810091450222462	14.095913883777822	0.9098615359414203	0.75699647	166
"GO:0000287"	"magnesium ion binding"	-3.097453220686009	5.90029337427456	1.734980838714495	0.9430003434357537	0.3313639	null
"GO:0001221"	"transcription coregulator binding"	-4.978810700930062	3.969276095488932	0.020334398706526192	0.8783235684616219	0.68341405	null
"GO:0016922"	"nuclear receptor binding"	-4.114638779968488	4.253095585849032	0.03909067694666998	0.8722673556713518	0.86462676	1221
"GO:0046965"	"nuclear retinoid X receptor binding"	-3.8181564120552274	2.9222062774390163	0.0018225872606214438	0.892159884033198	0.7307785	1221
"GO:0051059"	"NF-kappaB binding"	-4.304518323509803	3.7999605274059833	0.013768719089820438	0.8798138251568645	0.71821277	1221
"GO:0061629"	"RNA polymerase II-specific DNA-binding transcription factor binding"	-3.496209316942819	4.516257653941758	0.0716549635828512	0.8677998928523722	0.90751954	1221
"GO:0001223"	"transcription coactivator binding"	-7.655607726314889	3.4154741681092355	0.005679487487589218	0.8867259299021472	0.31996598	null
"GO:0001228"	"DNA-binding transcription activator activity, RNA polymerase II-specific"	-4.347753658996677	4.857959358058422	0.1573820470090874	0.958593954236201	0.3988257	null
"GO:0001530"	"lipopolysaccharide binding"	-6.357535479757878	3.977311973396926	0.02071419533329042	0.9574064035598145	0.57346957	null
"GO:0001540"	"amyloid-beta binding"	-10.539102157243452	3.9843022319799033	0.021050337175369103	0.9655788084240973	0.0342373	null
"GO:0001609"	"G protein-coupled adenosine receptor activity"	-3.0856568428805593	3.525692524505011	0.007320907391765655	0.8632432432859528	0.4809783	null
"GO:0001618"	"virus receptor activity"	-5.355561410532162	3.0788191830988487	0.0026149216026640594	0.8981719388723619	0.30349428	null
"GO:0001758"	"retinal dehydrogenase activity"	-3.8239087409443187	2.941511432634403	0.0019055313515239766	0.9558820958430244	0.61396969	null
"GO:0001784"	"phosphotyrosine residue binding"	-3.3979400086720375	4.139343756152375	0.03008251212680807	0.8850764871414348	0.36221963	null
"GO:0001875"	"lipopolysaccharide immune receptor activity"	-4.30189945437661	3.082066934285113	0.0026345662557725543	0.8693420556238031	0.4829529	null
"GO:0002020"	"protease binding"	-11.527243550682787	4.249687427805301	0.038785093453871176	0.8721104524787295	0.62884192	null
"GO:0003674"	"molecular_function"	-14.434152181326482	7.660998154612795	100	1	-0	null
"GO:0003682"	"chromatin binding"	-5.474955192963154	5.459184338446896	0.6283254987182627	0.9720089725863503	0.04636836	null
"GO:0003684"	"damaged DNA binding"	-4.480172006224281	5.176941643135783	0.32805042773721993	0.9646670099006133	0.11527168	null
"GO:0003824"	"catalytic activity"	-39.05012229596313	7.442996037341388	60.53379149902957	1	-0	null
"GO:0004032"	"aldose reductase (NADPH) activity"	-4.111820506081675	4.306596566797276	0.0442157486687528	0.9418246611631998	0.65253288	null
"GO:0004022"	"alcohol dehydrogenase (NAD+) activity"	-3.0856568428805593	4.752447968653242	0.12343608643760871	0.9377675055629154	0.83417731	4032
"GO:0004035"	"alkaline phosphatase activity"	-3.441291429466834	4.120541028862419	0.028807792413990195	0.960339259657979	0.55535286	null
"GO:0004062"	"aryl sulfotransferase activity"	-7.747146969020107	3.5287881917748964	0.007373293133388308	0.9784153041383213	0.19690653	null
"GO:0004064"	"arylesterase activity"	-3.576754126063192	3.475816413031318	0.006526390310488763	0.9638273377026794	0.35399095	null
"GO:0004089"	"carbonate dehydratase activity"	-10.1073489661227	4.577100988801015	0.08243114718247763	0.9823833501115187	0.03467862	null
"GO:0016836"	"hydro-lyase activity"	-5.690369832574102	5.648856481910169	0.9724277907843571	0.9788762057675054	0.7328312	4089
"GO:0004115"	"3',5'-cyclic-AMP phosphodiesterase activity"	-7.694648630553377	4.171697207248836	0.03240931215054754	0.9554312574655607	0.56018424	null
"GO:0004112"	"cyclic-nucleotide phosphodiesterase activity"	-5.185752404268079	4.627673031766616	0.09261144297114639	0.953026698916474	0.7302653	4115
"GO:0004114"	"3',5'-cyclic-nucleotide phosphodiesterase activity"	-5.72584215073632	4.443122112348447	0.06054918635884892	0.9535600810048765	0.90366062	4115
"GO:0004435"	"phosphatidylinositol phospholipase C activity"	-3.6345120151091	4.281714970027296	0.041753618812488145	0.9519476760802121	0.74279476	4115
"GO:0004629"	"phospholipase C activity"	-3.282329496997738	4.3542813538497285	0.04934736860853844	0.9514053528785942	0.75129695	4115
"GO:0004128"	"cytochrome-b5 reductase activity, acting on NAD(P)H"	-4.30189945437661	3.9174004679552508	0.018044705249769432	0.9469089760907976	0.61257611	null
"GO:0004175"	"endopeptidase activity"	-8.10790539730952	5.990244703038512	2.1342540476661793	0.9327501429360034	0.55874079	null
"GO:0008236"	"serine-type peptidase activity"	-3.8239087409443187	5.765542643253906	1.2721659079137677	0.935890146659625	0.74099517	4175
"GO:0004298"	"threonine-type endopeptidase activity"	-9.277366077466187	4.292233912909475	0.04277732351336414	0.9499574018422678	0.41113122	null
