TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0001101"	"response to acid chemical"	-13.407823242604133	4.828292459459625	0.16575242993377337	0.8847677692810962	0.54196644	null
"GO:0001659"	"temperature homeostasis"	-6.6777807052660805	3.326335860928751	0.00521560688767286	0.9099344467414514	0.55050955	null
"GO:0001894"	"tissue homeostasis"	-3.3133637307377066	4.244994166139669	0.04326566204413098	0.898075923713345	0.77392167	1659
"GO:0045453"	"bone resorption"	-3.540607512240769	3.308350948586726	0.005003930534515774	0.9099251166772552	0.87647645	1659
"GO:0060249"	"anatomical structure homeostasis"	-3.133122185662501	4.248488225577443	0.043615174162134535	0.8982351796589357	0.88007724	1659
"GO:0001666"	"response to hypoxia"	-5.935542010773082	4.481442628502305	0.07457653284077395	0.9086579397780198	0.65261068	null
"GO:0036293"	"response to decreased oxygen levels"	-6.347753658996677	4.486331281184666	0.0754207769004586	0.9117846348812866	0.97106719	1666
"GO:0001763"	"morphogenesis of a branching structure"	-4.106793246940152	3.9933039379194746	0.0242344810835427	0.9016792207682823	0.53414814	null
"GO:0001775"	"cell activation"	-6.567030709125595	4.785315595613992	0.150135145506079	0.9096780286510537	0.58391363	null
"GO:0001816"	"cytokine production"	-5.08196966321512	2.8639173769578603	0.001796787648891547	0.9209586454336676	0.41631708	null
"GO:0001818"	"negative regulation of cytokine production"	-5.107905397309519	4.121264305229581	0.032539085915542804	0.6856364832985173	0.64906397	null
"GO:0001819"	"positive regulation of cytokine production"	-4.262807357295263	4.54119220000948	0.08557631914611137	0.633718699418529	0.86465655	1818
"GO:0002699"	"positive regulation of immune effector process"	-3.1325325121409486	4.331832044436249	0.05284278634801729	0.7241958751911625	0.93410586	1818
"GO:0002700"	"regulation of production of molecular mediator of immune response"	-4.671620396561262	4.124406399745029	0.03277537579813676	0.7757433612551136	0.90539267	1818
"GO:0002701"	"negative regulation of production of molecular mediator of immune response"	-3.415668775632469	3.161966616364075	0.0035714231212899106	0.7738853082269417	0.85432558	1818
"GO:0002703"	"regulation of leukocyte mediated immunity"	-4.721246399047171	4.344863649797128	0.054452511173188625	0.792014050909106	0.87644189	1818
"GO:0002705"	"positive regulation of leukocyte mediated immunity"	-3.580044251510242	4.121756758487815	0.03257600620969811	0.7315754599855978	0.95025383	1818
"GO:0002706"	"regulation of lymphocyte mediated immunity"	-3.749579997691106	4.229988836544811	0.04179623433674981	0.794915946970039	0.91978409	1818
"GO:0002708"	"positive regulation of lymphocyte mediated immunity"	-3.537602002101044	4.066176785772006	0.028662455029235707	0.7333691283329491	0.94262268	1818
"GO:0002718"	"regulation of cytokine production involved in immune response"	-5.03810452633215	3.90151280912994	0.019616982961185796	0.6935811094094311	0.78777786	1818
"GO:0002719"	"negative regulation of cytokine production involved in immune response"	-4.22767829327708	3.0433622780211294	0.002717333649830504	0.6997141015251881	0.84206832	1818
"GO:0032642"	"regulation of chemokine production"	-4.320572103387881	3.6049816296074315	0.009909406951284066	0.7313501978194946	0.75659035	1818
"GO:0032649"	"regulation of type II interferon production"	-3.5086383061657274	3.8009231818132183	0.015560673309989535	0.7247496118811466	0.77691463	1818
"GO:0032652"	"regulation of interleukin-1 production"	-3.025028005701931	3.8169038393756605	0.016144013957643363	0.7241968279575018	0.77862043	1818
"GO:0032675"	"regulation of interleukin-6 production"	-4.423658649794207	3.9002032130168933	0.019557910490537306	0.721278786471634	0.78763448	1818
"GO:0032677"	"regulation of interleukin-8 production"	-3.657577319177794	3.5833121519830775	0.009426981774321403	0.7320606346463474	0.75440765	1818
"GO:0032680"	"regulation of tumor necrosis factor production"	-4.189767482004916	3.8185557792978027	0.016205547781235542	0.723712180926727	0.77879719	1818
"GO:0032722"	"positive regulation of chemokine production"	-3.5016894462103996	3.51067903103221	0.007974783537546043	0.6779702319961833	0.74718231	1818
"GO:0032729"	"positive regulation of type II interferon production"	-4.059483515067432	3.665393350279712	0.011388680070439982	0.67230618255791	0.78230742	1818
"GO:0032755"	"positive regulation of interleukin-6 production"	-4.401209493236885	3.7165875776756923	0.012813803424834786	0.6702572379749523	0.76803471	1818
"GO:0032757"	"positive regulation of interleukin-8 production"	-3.54515513999149	3.493597449000527	0.007667114419585163	0.6789990032586195	0.74550308	1818
"GO:1900015"	"regulation of cytokine production involved in inflammatory response"	-3.9829666607012197	3.5474054596674898	0.00867873047944054	0.733229548912965	0.75081841	1818
"GO:1903555"	"regulation of tumor necrosis factor superfamily cytokine production"	-4.079876673709276	3.827756862978617	0.016552598546295417	0.7238201345529296	0.77978317	1818
"GO:1903556"	"negative regulation of tumor necrosis factor superfamily cytokine production"	-3.6345120151091	3.4234097277330933	0.006522585300770684	0.7110000230854556	0.94798082	1818
"GO:2000343"	"positive regulation of chemokine (C-X-C motif) ligand 2 production"	-3.6270879970298933	2.9978230807457256	0.0024465848260249285	0.6964831154676278	0.9193304	1818
"GO:0001973"	"G protein-coupled adenosine receptor signaling pathway"	-5.062482107982653	3.6456187382426952	0.01088164136404045	0.787711508979353	0.4952878	null
