TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000323"	"lytic vacuole"	-4.924453038607469	5.516811595158069	0.8202323718898461	0.9077548040297077	0.20140505	null
"GO:0005764"	"lysosome"	-4.924453038607469	5.344533740246999	0.5516433755371337	0.9104381857350332	0.86133349	323
"GO:0001518"	"voltage-gated sodium channel complex"	-4.1911141326401875	4.267734772321856	0.04622085323300807	0.7418772582348399	0.51979038	null
"GO:0005575"	"cellular_component"	-3.2306226739238615	7.602873379307559	100	1	-0	null
"GO:0005576"	"extracellular region"	-3.339134521996131	6.174372980219259	3.728201021160707	0.9999263727769647	4.906E-05	null
"GO:0005615"	"extracellular space"	-4.319664486585437	5.883056976362223	1.906263969905416	0.9999319061920706	4.476E-05	null
"GO:0005773"	"vacuole"	-3.896196279044043	5.707755776035393	1.2731558102891367	0.9268926831754654	0.2123245	null
"GO:0005783"	"endoplasmic reticulum"	-3.607303046740334	6.0904354741384665	3.072994288082703	0.8947087658814944	0.23820749	null
"GO:0005886"	"plasma membrane"	-43.10846254232744	6.8250353366409255	16.678688713171073	0.791267822797088	0.46934371	null
"GO:0009897"	"external side of plasma membrane"	-9.036684488613888	5.049427364190323	0.27960833921709516	0.847874991082365	0.28009622	null
"GO:0009986"	"cell surface"	-14.866461091629782	5.394946984319184	0.6195435881011558	0.9999394792952776	0	null
"GO:0016020"	"membrane"	-26.62342304294349	7.300683746686734	49.86666869619539	0.9998934647118098	8.613E-05	null
"GO:0016323"	"basolateral plasma membrane"	-7.120904120499927	4.703961652091485	0.1262059112436349	0.7194585827007745	0.69168272	null
"GO:0009925"	"basal plasma membrane"	-3.0259490972071226	4.75048525243288	0.14047665894322856	0.7175280457567441	0.97940693	16323
"GO:0019897"	"extrinsic component of plasma membrane"	-3.6270879970298933	4.981034448719282	0.23886721354979923	0.8497456040213622	0.27601694	null
"GO:0031004"	"potassium ion-transporting ATPase complex"	-3.0915149811213505	1.380211241711606	5.739241075199404E-05	0.8782594259859744	0.13606793	null
"GO:0031090"	"organelle membrane"	-3.224025668870631	6.361341897791151	5.734140636609097	0.8521219195661079	0.26291765	null
"GO:0031410"	"cytoplasmic vesicle"	-8.327902142064282	5.97609262800176	2.3616677585780756	0.8167281447677657	4.605E-05	null
"GO:0005768"	"endosome"	-6.455931955649724	5.691684309482424	1.2269025178674426	0.8149047343670296	0.89726082	31410
"GO:0005769"	"early endosome"	-3.1084625423274357	5.0666203256759585	0.29089967220199836	0.8375258130065004	0.76253998	31410
"GO:0012506"	"vesicle membrane"	-3.350665141287858	5.632141326741975	1.069712190784351	0.7819846235240991	0.86228565	31410
"GO:0030659"	"cytoplasmic vesicle membrane"	-3.5466816599529625	5.625101427263876	1.052511934814199	0.7799058470014777	0.88068669	31410
"GO:0097708"	"intracellular vesicle"	-8.271646217978772	5.977144922533338	2.3673970183644486	0.8184619838419722	0.95375105	31410
"GO:0031526"	"brush border membrane"	-3.58838029403677	3.733919151012391	0.013519655715404508	0.6720366400790692	0.57177759	null
"GO:0031982"	"vesicle"	-7.663540266151471	6.011084286139367	2.559826285649265	0.9228633416397776	0.22496548	null
"GO:0034706"	"sodium channel complex"	-3.294992040666664	4.388953316589278	0.06110295487322079	0.8116500267784279	0.66688251	null
"GO:0042734"	"presynaptic membrane"	-10.118045028660399	4.554573951206435	0.08947227304015211	0.6265484456857654	0.68076157	null
"GO:0043679"	"axon terminus"	-5	4.474463945321284	0.07440052691223714	0.7088263700700175	0.75599041	42734
"GO:0045211"	"postsynaptic membrane"	-7.950781977329818	5.000073823787079	0.24957214581614942	0.6054792929817195	0.87557802	42734
"GO:0042995"	"cell projection"	-9.8153085691824	5.9927862867668535	2.454214268576769	0.999929925687189	4.217E-05	null
"GO:0043005"	"neuron projection"	-13.448550002027124	5.66007202396096	1.1407689859397327	0.8380144613162439	3.711E-05	null
"GO:0030424"	"axon"	-3.9956786262173574	5.239134240573442	0.432771216258721	0.8397792338319113	0.80363754	43005
"GO:0030425"	"dendrite"	-6.2020403562628035	5.186752977050775	0.3835983968552951	0.8134337403592887	0.76236172	43005
"GO:0043025"	"neuronal cell body"	-4.798602875679548	4.892133576087512	0.1946501040486977	0.9697289420411492	0.89828461	43005
"GO:0120025"	"plasma membrane bounded cell projection"	-10.943095148663527	5.907165119107034	2.0150749900467835	0.8384287046637019	0.86330507	43005
"GO:0043235"	"receptor complex"	-14.3829996588791	5.247543666754485	0.44123285386133015	0.9181508261792467	-0	null
"GO:0044297"	"cell body"	-4.841637507904751	4.902590260940169	0.19939371156346034	0.999945549112259	3.037E-05	null
"GO:0044306"	"neuron projection terminus"	-4.320572103387881	4.486699615514205	0.07652654143226753	0.8575808023756513	0.65686586	null
"GO:0045121"	"membrane raft"	-12.892790030352131	4.636056396549581	0.10793765736905453	0.8925487760568788	0.06010494	null
"GO:0005901"	"caveola"	-6.609064892896621	4.177709606083182	0.037567075820490015	0.714170069375288	0.9271468	45121
"GO:0044853"	"plasma membrane raft"	-6.055517327849832	4.211307466668955	0.04058891101269283	0.7128538875677681	0.93204615	45121
"GO:0045202"	"synapse"	-10.003050751504619	5.678394537381473	1.189926833409919	0.8293165408973244	3.854E-05	null
"GO:0016324"	"apical plasma membrane"	-5.61261017366127	4.8649617539821	0.18284473468923318	0.7202489220774024	0.78803161	45202
"GO:0031253"	"cell projection membrane"	-4.619788758288394	4.843126839694776	0.17387904200088908	0.615096870258175	0.78474907	45202
"GO:0097060"	"synaptic membrane"	-8.38933983691012	5.120702226532808	0.32947735351616475	0.6020839271354737	0.76822121	45202
"GO:0098793"	"presynapse"	-3.9136401693252516	5.257510583190615	0.45147615151945786	0.8240396686551448	0.79283563	45202
"GO:0098552"	"side of membrane"	-9.876148359032914	5.455405271502553	0.7120826121332298	0.9413102064912702	0.07177011	null
"GO:0098590"	"plasma membrane region"	-14.133712660915805	5.528594071846178	0.8427900846375862	0.8333885772668282	3.481E-05	null
"GO:0098665"	"serotonin receptor complex"	-4.752026733638194	2.2600713879850747	0.000451653319396127	0.9218862676265357	0.43975451	null
"GO:0098666"	"G protein-coupled serotonin receptor complex"	-4.752026733638194	2.285557309007774	0.0004791018636688198	0.9216827738540284	0.15240645	null
"GO:0098691"	"dopaminergic synapse"	-5.062482107982653	2.6655809910179533	0.0011528388594530977	0.8750382070792004	0.49328686	null
"GO:0098797"	"plasma membrane protein complex"	-5.94692155651658	5.82791115668092	1.6789476028500072	0.6999465669517817	0.33674404	null
"GO:0034702"	"monoatomic ion channel complex"	-5.004803708402821	5.514163756939098	0.8152467181210423	0.7845544041500531	0.87241331	98797
"GO:0034703"	"cation channel complex"	-4.6020599913279625	5.405194339042305	0.6343358581419307	0.7795749337367002	0.84796861	98797
"GO:1902495"	"transmembrane transporter complex"	-5.197226274708024	5.911502775617301	2.0353020718535517	0.7688086954780403	0.76628328	98797
"GO:0098802"	"plasma membrane signaling receptor complex"	-3.705533773838407	4.831754629405333	0.1693849667067873	0.7201011369873402	0.5842812	null
"GO:0098857"	"membrane microdomain"	-12.892790030352131	4.636507955681417	0.10804994686835193	0.9499359205983364	0.06011032	null
"GO:0098978"	"glutamatergic synapse"	-4.010550182333308	4.56531642708562	0.09171307238168648	0.8408440722634627	0.68223541	null
"GO:0099154"	"serotonergic synapse"	-3.563837352959244	1.7323937598229686	0.00013225207695024714	0.8872092947856334	0.43383977	null
"GO:1990351"	"transporter complex"	-4.962573502059376	5.919102161041849	2.0712297209843	0.9072965724740046	0.33818869	null
