Drug,Targets
metformin,"['NDUFB5', 'NDUFA9', 'NDUFA5', 'GPD2', 'NDUFA12', 'NDUFA3', 'NDUFA4L2', 'MT-ND6', 'NDUFB11', 'MT-ND4L', 'NDUFA1', 'NDUFB6', 'NDUFB1', 'NDUFS1', 'NDUFS2', 'NDUFC1', 'MT-ND5', 'MT-ND3', 'NDUFB3', 'NDUFA2', 'NDUFB2', 'NDUFV2', 'NDUFAF1', 'NDUFA11', 'NDUFAB1', 'NDUFS6', 'NDUFB9', 'NDUFB10', 'NDUFA7', 'NDUFB8', 'MT-ND4', 'NDUFV3', 'NDUFAF2', 'NDUFAF4', 'NDUFB4', 'NDUFS8', 'NDUFAF3', 'NDUFA6', 'NDUFA4', 'NDUFA8', 'NDUFA10', 'NDUFS5', 'NDUFB7', 'NDUFV1', 'NDUFA13', 'NDUFS3', 'NDUFS4', 'NDUFS7', 'NDUFC2', 'MT-ND2', 'MT-ND1']"
guanidine,"['KCNH7', 'KCNQ3', 'KCND1', 'KCNQ1', 'KCNV2', 'KCNH5', 'KCNH6', 'KCNH4', 'KCNC3', 'KCNA4', 'KCNH2', 'KCNB2', 'KCNA7', 'KCND3', 'KCNA3', 'KCNS1', 'KCNH1', 'KCNA6', 'KCNV1', 'KCND2', 'KCNS2', 'KCNA10', 'KCNA5', 'KCNC1', 'KCNQ5', 'KCNH8', 'KCNB1', 'KCNC4', 'KCNG4', 'KCNF1', 'KCNQ4', 'KCNA2', 'KCNC2', 'KCNG2', 'KCNG1', 'KCNA1', 'KCNG3', 'KCNS3', 'KCNH3', 'KCNQ2']"
dalfampridine,"['KCNH7', 'KCNQ3', 'KCND1', 'KCNQ1', 'KCNV2', 'KCNH5', 'KCNH6', 'KCNH4', 'KCNC3', 'KCNA4', 'KCNH2', 'KCNB2', 'KCNA7', 'KCND3', 'KCNA3', 'KCNS1', 'KCNH1', 'KCNA6', 'KCNV1', 'KCND2', 'KCNS2', 'KCNA10', 'KCNA5', 'KCNC1', 'KCNQ5', 'KCNH8', 'KCNB1', 'KCNC4', 'KCNG4', 'KCNF1', 'KCNQ4', 'KCNA2', 'KCNC2', 'KCNG2', 'KCNG1', 'KCNA1', 'KCNG3', 'KCNS3', 'KCNH3', 'KCNQ2']"
ixazomib,"['PSMB11', 'PSMC6', 'PSMB2', 'ADRM1', 'PSMB3', 'PSMB5', 'PSMB7', 'PSMD13', 'PSMA6', 'PSMB9', 'PSMA4', 'PSMB8', 'SEM1', 'PSMB4', 'PSMD4', 'PSMD2', 'PSMC1', 'PSMD1', 'PSMA5', 'PSMD12', 'PSMD11', 'PSMA3', 'PSMB1', 'PSMD7', 'PSMA7', 'PSMB10', 'PSMC3', 'PSMC5', 'PSMD6', 'PSMD14', 'PSMA8', 'PSMA1', 'PSMA2', 'PSMC4', 'PSMD3', 'PSMD8', 'PSMC2', 'PSMB6']"
carfilzomib,"['PSMB11', 'PSMC6', 'PSMB2', 'ADRM1', 'PSMB3', 'PSMB5', 'PSMB7', 'PSMD13', 'PSMA6', 'PSMB9', 'PSMA4', 'PSMB8', 'SEM1', 'PSMB4', 'PSMD4', 'PSMD2', 'PSMC1', 'PSMD1', 'PSMA5', 'PSMD12', 'PSMD11', 'PSMA3', 'PSMB1', 'PSMD7', 'PSMA7', 'PSMB10', 'PSMC3', 'PSMC5', 'PSMD6', 'PSMD14', 'PSMA8', 'PSMA1', 'PSMA2', 'PSMC4', 'PSMD3', 'PSMD8', 'PSMC2', 'PSMB6']"
bortezomib,"['PSMB11', 'PSMC6', 'PSMB2', 'ADRM1', 'PSMB3', 'PSMB5', 'PSMB7', 'PSMD13', 'PSMA6', 'PSMB9', 'PSMA4', 'PSMB8', 'SEM1', 'PSMB4', 'PSMD4', 'PSMD2', 'PSMC1', 'PSMD1', 'PSMA5', 'PSMD12', 'PSMD11', 'PSMA3', 'PSMB1', 'PSMD7', 'PSMA7', 'PSMB10', 'PSMC3', 'PSMC5', 'PSMD6', 'PSMD14', 'PSMA8', 'PSMA1', 'PSMA2', 'PSMC4', 'PSMD3', 'PSMD8', 'PSMC2', 'PSMB6']"
topiramate,"['GABRA5', 'GABRA6', 'GRIK1', 'GRIK3', 'GRIA1', 'GRIK2', 'SCN2A', 'GRIA3', 'SCN11A', 'GABRB2', 'SCN9A', 'GABRB1', 'GRIA4', 'GABRE', 'SCN1A', 'GABRA4', 'SCN4A', 'SCN5A', 'GABRA1', 'GABRP', 'GABRA2', 'GRIA2', 'GRIK4', 'GABRD', 'GABRG1', 'CA4', 'SCN3A', 'GABRA3', 'SCN7A', 'SCN10A', 'GABRB3', 'GABRG3', 'GRIK5', 'SCN8A', 'GABRG2', 'GABRQ', 'CA2']"
gabapentin,"['CACNA1B', 'CACNB1', 'CACNA1S', 'CACNG3', 'CACNA2D2', 'CACNA1D', 'CACNB4', 'CACNA1A', 'CACNG7', 'CACNG4', 'CACNG2', 'CACNA2D3', 'CACNB3', 'CACNG1', 'CACNA1F', 'CACNA1G', 'CACNA2D1', 'CACNB2', 'CACNG5', 'CACNA1H', 'CACNG8', 'CACNA2D4', 'CACNG6', 'CACNA1E', 'CACNA1I', 'CACNA1C']"
pregabalin,"['CACNA1B', 'CACNB1', 'CACNA1S', 'CACNG3', 'CACNA2D2', 'CACNA1D', 'CACNB4', 'CACNA1A', 'CACNG7', 'CACNG4', 'CACNG2', 'CACNA2D3', 'CACNB3', 'CACNG1', 'CACNA1F', 'CACNA1G', 'CACNA2D1', 'CACNB2', 'CACNG5', 'CACNA1H', 'CACNG8', 'CACNA2D4', 'CACNG6', 'CACNA1E', 'CACNA1I', 'CACNA1C']"
primidone,"['GABRA5', 'GABRA6', 'SCN2A', 'SCN11A', 'GABRB2', 'SCN9A', 'GABRB1', 'GABRE', 'SCN1A', 'GABRA4', 'SCN4A', 'SCN5A', 'GABRA1', 'GABRP', 'GABRA2', 'GABRD', 'GABRG1', 'SCN3A', 'GABRA3', 'SCN7A', 'SCN10A', 'GABRB3', 'GABRG3', 'SCN8A', 'GABRG2', 'GABRQ']"
