Drug,Targets
n-pyridoxyl-7-keto-8-aminopelargonic acid-5'-monophosphate,[]
azilsartan medoxomil,['AGTR1']
"(5s)-3-anilino-5-(2,4-difluorophenyl)-5-methyl-1,3-oxazolidine-2,4-dione","['CYC1', 'MT-CYB', 'UQCRC1', 'UQCRC2', 'UQCRH', 'UQCRQ', 'UQCRFS1', 'UQCRB', 'UQCR10', 'UQCR11']"
3-hydroxy-myristic acid,"['TLR4', 'LY96']"
benzylcysteine,['MGMT']
latrunculin a,"['ACTA1', 'GSN']"
"1-ter-butyl-3-p-tolyl-1h-pyrazolo[3,4-d]pyrimidin-4-ylamine","['RET', 'HCK']"
n-cyclopropyl-4-methyl-3-{2-[(2-morpholin-4-ylethyl)amino]quinazolin-6-yl}benzamide,['MAPK14']
methylcobalamin,[]
"[{(5-chloro-2-pyridinyl)amino} methylene]-1,1-bisphosphonate",[]
2-deoxy-2-fluoro-β-d-galactose,[]
metyrosine,['TH']
mazindol,"['SLC6A4', 'SLC6A3', 'SLC6A2']"
methyltrienolone,"['PGR', 'AR', 'NCOA2']"
sorafenib,"['CYP1A2', 'CYP2D6', 'ABCB1', 'FGFR1', 'CYP3A4', 'CYP2C9', 'UGT1A9', 'ABCC2', 'CYP2C19', 'CYP3A5', 'CYP2C8', 'ABCG2', 'PDGFRB', 'ABCC4', 'CYP2B6', 'UGT1A1', 'BRAF', 'RAF1', 'FLT4', 'KDR', 'FLT3', 'KIT', 'RET', 'FLT1', 'RALBP1']"
nabilone,"['CNR1', 'CNR2']"
thalidomide,"['TNF', 'PTGS2', 'PTGS2', 'CYP1A2', 'PTGS1', 'FGFR2', 'CYP2E1', 'CYP2C9', 'CYP2C19', 'CYP3A5', 'CYP1A1', 'CRBN', 'NFKB1']"
2-[4-(3-methyl-1h-pyrazol-4-yl)phenyl]ethanamine,"['PRKACA', 'PKIA']"
tolvaptan,"['ABCB1', 'AVPR2', 'AVPR1A', 'CYP3A4']"
diphenidol,"['CHRM3', 'CHRM1', 'CHRM2']"
tenoxicam,"['PTGS2', 'PTGS1', 'CYP2C9', 'SLC22A8']"
tak-390mr,['ATP4A']
ketorolac,"['PTGS2', 'PTGS1']"
cytidine-5'-diphosphate,[]
"cis-[4,5-bis-(4-bromophenyl)-2-(2-ethoxy-4-methoxyphenyl)-4,5-dihydroimidazol-1-yl]-[4-(2-hydroxyethyl)piperazin-1-yl]methanone",['MDM2']
"3h-pyrazolo[4,3-d]pyrimidin-7-ol",['HPRT1']
2'-5'dideoxyuridine,[]
beta-methyllactoside,['ABO']
d-treitol,[]
n-cyclohexyl-n'-decylurea,['EPHX2']
"(8alpha,10alpha,13alpha,17beta)-17-[(4-hydroxyphenyl)carbonyl]androsta-3,5-diene-3-carboxylic acid","['NCOA1', 'NR1H4']"
5-bromothienyldeoxyuridine,[]
