Drug,Targets
zafirlukast,"['TNFAIP6', 'CYP1B1', 'CYP2C8', 'ABCB11', 'BMP6', 'SLPI', 'EPHX2', 'NFE2L2', 'IL1B', 'CXCL8', 'CYSLTR1', 'IFNG', 'VDR', 'SLC47A1', 'MMP9', 'ABCB4', 'MPO', 'SLC47A2', 'CYSLTR2', 'PID1', 'POLB', 'EREG', 'USP1', 'IL24', 'ABCG2', 'PPARG', 'SLC7A11', 'CYP2D6', 'CYP1A2', 'SLC22A2', 'GMNN', 'CYP1A1', 'MAPK1', 'PTGS2', 'ABCC1', 'MET', 'RNASE3', 'CAT', 'EDN1', 'IL6', 'OCLN', 'BAZ2B', 'AR', 'CYP3A4', 'CYP2C9', 'TJP1', 'MMP2', 'KAT2A', 'PTGS1', 'TNF', 'CYP2C19']"
methyldopa,"['ALB', 'ESR2', 'POLK', 'ADRA2B', 'EHMT2', 'REN', 'SULT1A1', 'SULT1A2', 'PNMT', 'PRL', 'COMT', 'RGS4', 'BLM', 'POLB', 'GSTA1', 'SLC15A1', 'GSTM1', 'CYP2D6', 'RECQL', 'GSTP1', 'ALDH1A1', 'KDM4E', 'SULT6B1', 'SULT1C4', 'ADRA2C', 'CYP1A2', 'GMNN', 'POLI', 'SULT2A1', 'ADRA2A', 'HSD17B10', 'DDC', 'SULT1C2', 'FEN1', 'SULT4A1', 'CTH', 'APEX1', 'TYR', 'DRD2', 'SULT1B1', 'DBH', 'BAZ2B', 'SULT1C3', 'CYP3A4', 'CASP6', 'CBX1', 'CYP2C9', 'KDM4A', 'MPHOSPH8', 'SULT1A4', 'CYP2C19']"
quinine,"['KCNH2', 'GRM1', 'Cyp2c6v1', 'Cyp2d26', 'SLC22A1', 'CYP2C8', 'TAS2R40', 'CYP3A7', 'G6PD', 'SLCO1B1', 'KCNK18', 'CYP3A7-CYP3A51P', 'Cyp2d1', 'Slco1a4', 'CYP3A5', 'SLC47A1', 'Cyp2d2', 'Soa', 'SLC47A2', 'SLC9A7', 'HBA2', 'ABCB1', 'SLC22A5', 'IL1A', 'CYP2D6', 'GSTM1', 'GSTP1', 'SLCO1A2', 'SLC22A4', 'CYP1A2', 'SLC22A2', 'APP', 'Cyp2c11', 'CYP1A1', 'CYP2E1', 'KCNB2', 'KCNK2', 'COP1', 'TAS2R14', 'IL2', 'GP9', 'IL6', 'Abcb1b', 'CYP3A4', 'SLC22A3', 'CYP2C9', 'SLC29A4', 'THRB', 'TNF', 'CYP2C19']"
pemetrexed,"['ABCC11', 'KRAS', 'ABCC2', 'DHFR', 'IL13RA2', 'IL33', 'C3', 'TYMP', 'MAP2K6', 'DDIT3', 'GGH', 'FPGS', 'ALK', 'IL11', 'TNFRSF9', 'NPM1', 'TNFRSF10B', 'EGFR', 'FAS', 'CXCL8', 'CDC21', 'CCL2', 'FOLR3', 'RBM17', 'CCND1', 'TYMS', 'BID', 'ATIC', 'CFLAR', 'IL1A', 'MTHFD2', 'SLC46A1', 'PTEN', 'MTHFR', 'IL7R', 'IL1RL1', 'BCL2', 'BBC3', 'ERCC1', 'SLC19A1', 'ABCC5', 'TRAF1', 'NRAS', 'TNFAIP3', 'IFI30', 'TP53', 'KLRC1', 'GART', 'CDKN1A', 'IL32']"
quetiapine,"['DRD3', 'SLC6A4', 'HRH1', 'ADRB1', 'HTR1B', 'HTR2C', 'SH2B1', 'HTR1D', 'ADRA2B', 'PDE4D', 'HTR6', 'DRD1', 'CHRM3', 'CHRM1', 'HTR2A', 'HTR7', 'CYP3A7-CYP3A51P', 'DRD4', 'CYP3A5', 'COMT', 'MIR582', 'RGS4', 'EIF2AK4', 'ABCB1', 'HTR1A', 'CYP2D6', 'HTR1E', 'CHRM2', 'CHRM5', 'HTR3A', 'ADRA2C', 'CYP1A2', 'ADRA1D', 'FAAH', 'CNR1', 'ADRA2A', 'HTR2B', 'RABEP1', 'HTR1F', 'MC4R', 'EPM2A', 'SLC6A2', 'DRD2', 'CHRM4', 'DRD5', 'CYP3A4', 'ADRA1A', 'GRIN2B', 'ADRA1B', 'CYP2C19']"
metoclopramide,"['KCNH2', 'SRD5A2', 'CYP1B1', 'HTR4', 'ACHE', 'PGD', 'AMY1A', 'DRD1', 'G6PD', 'CHRM3', 'CHRM1', 'ALDH1A2', 'AVP', 'Drd2', 'PRLR', 'PARP1', 'ORM1', 'PRL', 'GIP', 'CXCL1', 'FCGR2B', 'ESR1', 'CYB5R1', 'MPO', 'ABCB1', 'INS', 'CYP2D6', 'BCHE', 'CASP3', 'HTR3A', 'CYP1A2', 'LHB', 'SLC22A2', 'NOS2', 'CYB5R2', 'CYB5R3', 'Htr4', 'CYP11B2', 'DRD2', 'IL2', 'CYB5R4', 'Abcb1b', 'AR', 'CYP3A4', 'SRD5A1', 'GCG', 'CXCL2', 'Abcb1a', 'TNF']"
lauric acid,"['CYP4B1', 'ALB', 'GM2A', 'LYZ', 'NOD2', 'pvdQ', 'PPARGC1A', 'HNF4A', 'VIL1', 'AKT1', 'LTF', 'Cyp4a2', 'C8G', 'CYP4A11', 'CXCL8', 'MUC2', 'RPS6KB1', 'PLA2G2A', 'UGT2B7', 'TLR4', 'Cyp6a8', 'ESR1', 'PCNA', 'fabH', 'VLDLR', 'PPARA', 'MTOR', 'PLA2G2D', 'Cyp4a1', 'CASP3', 'ADH5', 'RELA', 'UGT1A3', 'TTR', 'GLTP', 'CLDN1', 'LY96', 'Cyp4a3', 'CYP2E1', 'GPR84', 'tonB', 'fabB', 'LGR5', 'KRT20', 'OCLN', 'CYP4Z1', 'CYP2C9', 'TJP1', 'RPS6']"
fexofenadine,"['KCNH2', 'NR1I2', 'HRH1', 'ALB', 'ABCC2', 'TIMP2', 'SLCO2B1', 'ABCB11', 'SLPI', 'MAPK3', 'IL1B', 'SLCO1B1', 'CCL17', 'CXCL8', 'GUSB', 'ORM1', 'NFKB1', 'MLXIPL', 'MMP9', 'HRH4', 'PID1', 'EREG', 'APOE', 'CCL3', 'ABCB1', 'IL1A', 'SLC7A11', 'SLC22A8', 'ORM2', 'SLCO1A2', 'TIMP1', 'RELA', 'ABCC3', 'CCL11', 'MAPK1', 'NOS2', 'PTGS2', 'ICAM1', 'MMP2', 'MET', 'CCL5', 'CKM', 'NOS3', 'Slco1b2', 'CCL22', 'Abcb1a', 'SLCO1B3', 'TNF', 'IL6']"
oxcarbazepine,"['ALB', 'ABCC2', 'SCN5A', 'SCN2A', 'HLA-B', 'CYP19A1', 'CBR3', 'SHBG', 'SCN1B', 'GRIK2', 'VIM', 'UGT2B7', 'CYP3A5', 'DHRS7', 'SCN10A', 'CDC20', 'VDR', 'UGT1A10', 'AKR1C3', 'SCN2B', 'SCN3A', 'HLA-DRB1', 'SCN9A', 'PLK1', 'UGT1A9', 'ABCB1', 'GABRA2', 'CBR1', 'SCN7A', 'AKR1C1', 'CASP3', 'ADRA2C', 'AKR1C4', 'SCN4A', 'ADRA2A', 'NOS2', 'UGT1A8', 'SCN11A', 'AKR1C2', 'BORA', 'SCN3B', 'CYP3A4', 'SCN4B', 'GABRA1', 'CCNB1', 'UGT1A7', 'SCN8A', 'SCN1A', 'CYP2C19']"
ibrutinib,"['LCK', 'ALB', 'ERBB2', 'TEC', 'JAK3', 'ITK', 'GPT', 'IL10', 'PRDM1', 'HCK', 'NFKBIA', 'TRAF3', 'YES1', 'EGFR', 'BMI1', 'ORM1', 'CYP3A5', 'ERBB4', 'SMAD3', 'TXK', 'ATM', 'HBB', 'CREBBP', 'TRAF2', 'MYD88', 'CFLAR', 'IKBKB', 'CYP2D6', 'BTK', 'SRC', 'BLK', 'ORM2', 'MYC', 'FYN', 'RELA', 'PIM1', 'PLCG2', 'LYN', 'CYP3A4', 'BCL2L11', 'TP53', 'TNFAIP3', 'MAP3K14', 'BCL2L1', 'BIRC3', 'BMX', 'TNF', 'IL6']"
