Drug,Targets
coenzyme a,"['HMGCS2', 'HMGCS1', 'FASN', 'SUCLG2', 'ACOT12', 'SUCLG1', 'ACAT1', 'ACAA2', 'ACAA1', 'CHAT', 'RBBP7', 'HAT1', 'OXCT1', 'DLST', 'KAT2B', 'HACL1', 'OXSM', 'AASDHPPT', 'CPT2', 'HADHA', 'KAT8', 'CS', 'NAT2', 'AANAT', 'NAGS', 'ACOT7', 'DBT', 'EP300', 'RBBP4', 'CRAT', 'SAT1', 'ECI1', 'DLAT', 'HMGCL', 'HADHB', 'COASY', 'GNPNAT1', 'ACAT2', 'SCP2', 'CPT1A', 'HMGCR', 'HIBCH', 'PDHX']"
dopamine,"['ADRB2', 'SST', 'HTR1F', 'TAAR1', 'CRH', 'SLC6A3', 'TYR', 'SLC6A2', 'DBH', 'ADRB1', 'MAOB', 'ADRA2A', 'DRD2', 'ADCY5', 'SLC6A4', 'HTR7', 'HTR6', 'HTR1A', 'DRD4', 'NPS', 'BDNF', 'HTR4', 'TH', 'OPRM1', 'GAD1', 'COMT', 'AOC3', 'DRD3', 'MAOA', 'DRD5', 'HTR1B']"
copper,"['ATP7A', 'CP', 'HEPH', 'CYCS', 'SLC31A1', 'UQCRFS1', 'SCO1', 'DBH', 'TXN', 'COX5B', 'TP53', 'APP', 'COX6A1', 'SOD1', 'LOX', 'UQCRC1', 'CCS', 'CYC1', 'MT-CYB', 'COX5A', 'UQCRH', 'SOD3', 'ATP7B', 'TF', 'UQCRC2', 'MT-CO1', 'SLC31A2', 'AOC3', 'MT-CO3', 'MT-CO2', 'UQCR10']"
estradiol,"['RB1', 'NOS3', 'IGF2', 'GNRH1', 'TGFB1', 'CASP3', 'SULT2A1', 'SHBG', 'CYP2A6', 'NCOA3', 'NR3C1', 'AR', 'MMP9', 'CXCL8', 'ESR2', 'GAL', 'PRL', 'IRS1', 'CYP1A2', 'IL1B', 'IGFBP3', 'HSD17B2', 'PGR', 'HSD17B7', 'SULT1E1']"
dasatinib,"['CSF1R', 'TNK2', 'CSK', 'ABL1', 'PDGFRA', 'FYN', 'EPHA2', 'HCK', 'EPHA4', 'EPHB1', 'STAT5B', 'EPHA3', 'TXK', 'EPHB3', 'ERBB3', 'PDGFRB', 'TEC', 'EGFR', 'PTK2', 'EPHB4', 'LYN', 'BLK', 'KIT', 'EPHA1', 'ABL2']"
clozapine,"['HTR1F', 'ADRA2C', 'ADRA2A', 'DRD2', 'CHRM1', 'CHRM3', 'HTR2C', 'FOS', 'HTR7', 'HTR6', 'HRH1', 'ADRA1D', 'HTR1A', 'DRD4', 'HRH2', 'TH', 'HTR3A', 'ADRA1A', 'CHRM5', 'CYP1A2', 'ADRA1B', 'HTR2B', 'DRD3', 'CHRM4']"
histamine,"['ADRB2', 'CCR3', 'HRH4', 'SST', 'HDC', 'BDKRB1', 'GNRH1', 'ADRB1', 'HRH3', 'GRPR', 'TRH', 'HTR7', 'HTR6', 'CXCL8', 'HRH1', 'CSF2', 'HTR1A', 'HRH2', 'HNMT', 'TAC1', 'TBXA2R', 'GAST', 'ADRB3']"
glycine,"['AGXT', 'SHMT1', 'GRIN2D', 'PSMD14', 'PSMD7', 'GRIN2A', 'SLC6A19', 'GLDC', 'SLC6A5', 'GRIN1', 'GARS1', 'GATM', 'DPP8', 'GRIN3B', 'SLC6A9', 'SHMT2', 'GLRA1', 'CNDP2', 'GRIN2C', 'CAMK2G', 'SLC6A18']"
progesterone,"['HSD11B2', 'NOS3', 'CRH', 'GNRH1', 'AKR1D1', 'AKR1C1', 'TP53', 'AKR1C2', 'NR3C1', 'OXTR', 'AR', 'HSD3B1', 'CXCL8', 'MMP7', 'SERPINA6', 'ESR2', 'NR1I2', 'PRL', 'PGR', 'CYP17A1', 'KCNU1']"
epinephrine,"['ADRB2', 'SST', 'ADRA2C', 'CRH', 'SCT', 'GCG', 'ADRB1', 'ADRA2A', 'EDN1', 'PAH', 'CXCL8', 'PNMT', 'ADRA1D', 'ADRA1A', 'ADRA1B', 'REN', 'IAPP', 'LRTOMT', 'TBXA2R', 'P2RY1', 'ADRB3']"
bortezomib,"['PSMB5', 'CYCS', 'XBP1', 'PMAIP1', 'PSMB4', 'EIF2AK3', 'TP53', 'PSMB2', 'CASP3', 'DKK1', 'HSPA5', 'JUN', 'PSMA5', 'TNFRSF10B', 'BCL2L11', 'PSMB1', 'TNFRSF10A', 'MCL1', 'PSMB6']"
rosiglitazone,"['CYP2C8', 'RXRA', 'TGFB1', 'SHBG', 'TNF', 'LEP', 'PCK2', 'MMP9', 'UCP1', 'PLIN1', 'FABP4', 'CYP2C9', 'SLC2A4', 'CRP', 'IRS1', 'EDNRB', 'RETN', 'ADIPOR2', 'PPARG']"
indomethacin,"['GLO1', 'NOS3', 'AKR1C3', 'MPO', 'PGF', 'AKR1C2', 'ALB', 'MMP1', 'TNF', 'PTGER2', 'EDN1', 'PTGIR', 'PTGER3', 'PTGS1', 'PPARG', 'PTGS2', 'IL1B', 'REN', 'TBXA2R']"
