Drug,Targets
phenol,"['CA-II', 'CA-XII', 'CA-XIV', 'CA-IX', 'CA-IV', 'CA-I']"
alitretinoin,"['RXRG', 'RARB', 'RARG', 'RXRA', 'RXRB']"
ibuprofen,"['COX-2', 'CXCR1', 'CXCR2', 'IL8']"
ponatinib,"['KIT', 'RET', 'ABL', 'FLT-3']"
pasireotide,"['SSTR1', 'SSTR3', 'SSTR5', 'SSTR2']"
fluorouracil,"['TYMS mRNA', 'Candi TMP1', 'TERT mRNA', 'DPYD']"
sorafenib,"['KDR', 'KIT', 'PDGFRB', 'EGFR']"
desmopressin,"['V2R', 'OTR', 'V1AR', 'V1BR']"
dasatinib,"['SRC', 'Bcr-Abl', 'FYN', 'LCK']"
teriflunomide,"['HMGCR', 'DHODH', 'Malaria DHOdehase']"
aminosalicylic acid,"['COX-2', 'COX-1', 'DHFR']"
ustekinumab,"['IL23', 'PDF', 'IL12A']"
vandetanib,"['KDR', 'RET', 'EGFR']"
regorafenib,"['KDR', 'KIT', 'RET']"
crizotinib,"['ALK', 'MET', 'ROS1']"
cocaine,"['SERT', 'DAT', 'NET']"
lapatinib,"['eEF-2K', 'HER2', 'EGFR']"
imatinib,"['KIT', 'Bcr-Abl', 'MCL-1 mRNA']"
ruxolitinib,"['JAK-2', 'JAK-1', 'PLAUR']"
cholic acid,"['CES1', 'PLA2G1B', 'FECH']"
lauric acid,"['TLR4', 'GIIA sPLA2', 'LTF']"
meprobamate,"['PRKCE', 'A', 'PDF']"
acetaminophen,"['SERT', 'NET', 'COX']"
ropinirole,"['D3R', 'D2R']"
sulfasalazine,"['ABCG2', 'NFKB']"
cabozantinib,"['KDR', 'MET']"
caffeine,"['ADORA1', 'ADORA2A']"
pramipexole,"['D3R', 'D2R']"
duloxetine,"['SERT', 'NET']"
prasterone,"['G6PD', 'AR']"
doxorubicin,"['TOP2', 'TERT mRNA']"
diphenhydramine,"['HNMT', 'H1R']"
digoxin,"['SLCO4C1', 'SPT ATPase']"
propylthiouracil,"['DIO1', 'TPO']"
conivaptan,"['V2R', 'V1AR']"
dexrazoxane,"['TOP2', 'TOP2B']"
selegiline,"['MAO-B', 'TACR1']"
ramelteon,"['MTNR1A', 'MTNR1B']"
bupropion,"['SERT', 'NET']"
eletriptan,"['HTR1D', 'HTR1B']"
rilpivirine,"['HIV RT', 'SCN10A']"
repaglinide,"['ABCC9', 'ABCC8']"
oxycodone,"['OPRD1', 'MOP']"
pergolide,"['D1R', 'D2R']"
hydroquinone,"['GPIIb/IIIa', 'TYR']"
macitentan,"['EDNRA', 'EDNRB']"
maraviroc,"['CCR5 mRNA', 'CCR5']"
levofloxacin,"['Bact gyrase', 'Stap-coc parC']"
menthol,"['TRPA1', 'TRPM8']"
levetiracetam,"['HTR3A', 'SV2A']"
metformin,"['SLC47A1', 'ACACB']"
abatacept,"['FUN1', 'CD80']"
methotrexate,"['SLC46A1', 'SLC19A1']"
lacosamide,"['SCN11A', 'DPYSL2']"
iloperidone,"['HTR2A', 'D2R']"
moxifloxacin,"['Bact gyrase', 'Stap-coc parC']"
nabilone,"['CB1', 'CB2']"
hydromorphone,"['OPRD1', 'MOP']"
palbociclib,"['CDK4', 'CDK6']"
glimepiride,"['ABCC9', 'ABCC8']"
gemifloxacin,"['Bact gyrase', 'Stap-coc parC']"
gatifloxacin,"['Bact gyrase', 'Stap-coc parC']"
nitroglycerin,"['GCS', 'EGFR']"
frovatriptan,"['HTR1D', 'HTR1B']"
folic acid,"['SLC46A1', 'SLC19A1']"
orlistat,"['PNLIP', 'CB1']"
fluorescein,"['SMAD3', 'SLC22A8']"
flumazenil,"['TSPO', 'A']"
