drugbank_id	category	uniprot_id	entrez_gene_id	organism	known_action	actions
DB00001	target	P00734	2147	Humans	yes	inhibitor
DB00006	target	P00734	2147	Humans	yes	inhibitor
DB00025	enzyme	P00734	2147	Humans	unknown	activator
DB00055	target	P00734	2147	Humans	unknown	
DB00100	target	P00734	2147	Humans	unknown	
DB00170	target	P00734	2147	Humans	unknown	activator
DB00278	target	P00734	2147	Humans	yes	inhibitor
DB01123	target	P00734	2147	Humans	no	other/unknown
DB01225	target	P00734	2147	Humans	unknown	inhibitor
DB01593	target	P00734	2147	Humans	unknown	
DB01725	target	P00734	2147	Humans	unknown	
DB01766	target	P00734	2147	Humans	unknown	
DB01767	target	P00734	2147	Humans	unknown	
DB02287	target	P00734	2147	Humans	unknown	
DB02723	target	P00734	2147	Humans	unknown	
DB03136	target	P00734	2147	Humans	unknown	
DB03159	target	P00734	2147	Humans	unknown	
DB03847	target	P00734	2147	Humans	unknown	
DB03865	target	P00734	2147	Humans	unknown	
DB04136	target	P00734	2147	Humans	unknown	
DB04591	target	P00734	2147	Humans	unknown	
DB04697	target	P00734	2147	Humans	unknown	
DB04722	target	P00734	2147	Humans	unknown	
DB04771	target	P00734	2147	Humans	unknown	
DB04772	target	P00734	2147	Humans	unknown	
DB04786	target	P00734	2147	Humans	unknown	inhibitor
DB04898	target	P00734	2147	Humans	yes	inhibitor
DB05714	target	P00734	2147	Humans	unknown	
DB05777	target	P00734	2147	Humans	yes	inhibitor
DB06404	target	P00734	2147	Humans	unknown	inhibitor
DB06695	target	P00734	2147	Humans	yes	inhibitor
DB06838	target	P00734	2147	Humans	unknown	
DB06841	target	P00734	2147	Humans	unknown	
DB06845	target	P00734	2147	Humans	unknown	
DB06850	target	P00734	2147	Humans	unknown	
DB06853	target	P00734	2147	Humans	unknown	
DB06858	target	P00734	2147	Humans	unknown	
DB06859	target	P00734	2147	Humans	unknown	
DB06861	target	P00734	2147	Humans	unknown	
DB06865	target	P00734	2147	Humans	unknown	
DB06866	target	P00734	2147	Humans	unknown	
DB06868	target	P00734	2147	Humans	unknown	
DB06869	target	P00734	2147	Humans	unknown	
DB06878	target	P00734	2147	Humans	unknown	
DB06911	target	P00734	2147	Humans	unknown	
DB06919	target	P00734	2147	Humans	unknown	
DB06929	target	P00734	2147	Humans	unknown	
DB06936	target	P00734	2147	Humans	unknown	
DB06942	target	P00734	2147	Humans	unknown	
DB06947	target	P00734	2147	Humans	unknown	
DB06996	target	P00734	2147	Humans	unknown	
DB07005	target	P00734	2147	Humans	unknown	
DB07016	target	P00734	2147	Humans	unknown	
DB07027	target	P00734	2147	Humans	unknown	
DB07083	target	P00734	2147	Humans	unknown	
DB07088	target	P00734	2147	Humans	unknown	
DB07091	target	P00734	2147	Humans	unknown	
DB07095	target	P00734	2147	Humans	unknown	
DB07105	target	P00734	2147	Humans	unknown	
DB07120	target	P00734	2147	Humans	unknown	
DB07128	target	P00734	2147	Humans	unknown	
DB07131	target	P00734	2147	Humans	unknown	
DB07133	target	P00734	2147	Humans	unknown	
DB07143	target	P00734	2147	Humans	unknown	
DB07165	target	P00734	2147	Humans	unknown	
DB07190	target	P00734	2147	Humans	unknown	
DB07211	target	P00734	2147	Humans	unknown	
DB07277	target	P00734	2147	Humans	unknown	
DB07278	target	P00734	2147	Humans	unknown	
DB07279	target	P00734	2147	Humans	unknown	
DB07353	target	P00734	2147	Humans	unknown	
DB07366	target	P00734	2147	Humans	unknown	
DB07376	target	P00734	2147	Humans	unknown	
DB07400	target	P00734	2147	Humans	unknown	
DB07440	target	P00734	2147	Humans	unknown	
DB07461	target	P00734	2147	Humans	unknown	
DB07508	target	P00734	2147	Humans	unknown	
DB07515	target	P00734	2147	Humans	unknown	
DB07521	target	P00734	2147	Humans	unknown	
DB07522	target	P00734	2147	Humans	unknown	
DB07527	target	P00734	2147	Humans	unknown	
DB07548	target	P00734	2147	Humans	unknown	
DB07549	target	P00734	2147	Humans	unknown	
DB07550	target	P00734	2147	Humans	unknown	
DB07639	target	P00734	2147	Humans	unknown	
