name_0	drugbank_id_0	To	From	uniprot_id	name	drugbank_id
aripiprazole	DB01238	HTR1E	P28566	P28566	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	CHRM2	P08172	P08172	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	CHRM3	P20309	P20309	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	HTR1A	P08908	P08908	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	ADRA1A	P35348	P35348	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	CYP3A5	P20815	P20815	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	CYP3A7	P24462	P24462	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	OPRM1	P35372	P35372	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	HTR6	P50406	P50406	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	ADRA1B	P35368	P35368	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	CYP3A4	P08684	P08684	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	DRD3	P35462	P35462	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	ADRA2B	P18089	P18089	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	HRH2	P25021	P25021	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	ADRB2	P07550	P07550	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	OPRD1	P41143	P41143	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	CHRM1	P11229	P11229	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	ADRB1	P08588	P08588	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	SLC6A3	Q01959	Q01959	aripiprazole_New_DrugBank	DB01238_DrugBank
aripiprazole	DB01238	ADRA2C	P18825	P18825	aripiprazole_New_DrugBank	DB01238_DrugBank
