Gene Symbol	CUI Term	Phenotype Name
RPSA	cui_tp_hypertension	phen_tp_hypertension
F2R	cui_tp_hypertension	phen_tp_hypertension
PPIA	cui_tp_hypertension	phen_tp_hypertension
APOE	cui_tp_hypertension	phen_tp_hypertension
PKM	cui_tp_hypertension	phen_tp_hypertension
PLG	cui_tp_hypertension	phen_tp_hypertension
CYSLTR1	cui_tp_hypertension	phen_tp_hypertension
LYN	cui_tp_hypertension	phen_tp_hypertension
PTBP1	cui_tp_hypertension	phen_tp_hypertension
HNRNPD	cui_tp_hypertension	phen_tp_hypertension
H2AFX	cui_tp_hypertension	phen_tp_hypertension
SDCCAG8	cui_tp_hypertension	phen_tp_hypertension
GH1	cui_tp_hypertension	phen_tp_hypertension
F2RL3	cui_tp_hypertension	phen_tp_hypertension
LRP1	cui_tp_hypertension	phen_tp_hypertension
SHMT1	cui_tp_hypertension	phen_tp_hypertension
CD36	cui_tp_hypertension	phen_tp_hypertension
ALMS1	cui_tp_hypertension	phen_tp_hypertension
TTR	cui_tp_hypertension	phen_tp_hypertension
PDE4D	cui_tp_hypertension	phen_tp_hypertension
FLT4	cui_tp_hypertension	phen_tp_hypertension
XRCC6	cui_tp_hypertension	phen_tp_hypertension
TLR4	cui_tp_hypertension	phen_tp_hypertension
TACR3	cui_tp_hypertension	phen_tp_hypertension
EPHB1	cui_tp_hypertension	phen_tp_hypertension
PRKACA	cui_tp_hypertension	phen_tp_hypertension
CD59	cui_tp_hypertension	phen_tp_hypertension
DYNLL1	cui_tp_hypertension	phen_tp_hypertension
TP53	cui_tp_hypertension	phen_tp_hypertension
HLA-A	cui_tp_hypertension	phen_tp_hypertension
VAV2	cui_tp_hypertension	phen_tp_hypertension
BECN1	cui_tp_hypertension	phen_tp_hypertension
FGA	cui_tp_hypertension	phen_tp_hypertension
NFKBIA	cui_tp_hypertension	phen_tp_hypertension
HDAC1	cui_tp_hypertension	phen_tp_hypertension
SMAD7	cui_tp_hypertension	phen_tp_hypertension
GSTA1	cui_tp_hypertension	phen_tp_hypertension
SMAD2	cui_tp_hypertension	phen_tp_hypertension
CTSC	cui_tp_hypertension	phen_tp_hypertension
KCNMA1	cui_tp_hypertension	phen_tp_hypertension
BDNF	cui_tp_hypertension	phen_tp_hypertension
TACR1	cui_tp_hypertension	phen_tp_hypertension
TGFBR2	cui_tp_hypertension	phen_tp_hypertension
F2RL1	cui_tp_hypertension	phen_tp_hypertension
GHSR	cui_tp_hypertension	phen_tp_hypertension
SMAD3	cui_tp_hypertension	phen_tp_hypertension
LTA	cui_tp_hypertension	phen_tp_hypertension
EPHB2	cui_tp_hypertension	phen_tp_hypertension
HSD11B1	cui_tp_hypertension	phen_tp_hypertension
MAP2K1	cui_tp_hypertension	phen_tp_hypertension
AKT1	cui_tp_hypertension	phen_tp_hypertension
CYP11A1	cui_tp_hypertension	phen_tp_hypertension
MTOR	cui_tp_hypertension	phen_tp_hypertension
FN1	cui_tp_hypertension	phen_tp_hypertension
