Gene	CUI	Source Databases	
APOC2	cui_sig_knockout_noFP_Sig_pancreatitis	phen_sig_knockout_noFP_Sig_pancreatitis	pfxgen_input_gen_phengene	
ATM	cui_sig_knockout_noFP_Sig_pancreatitis	phen_sig_knockout_noFP_Sig_pancreatitis	pfxgen_input_gen_phengene	
DMD	cui_sig_knockout_noFP_Sig_pancreatitis	phen_sig_knockout_noFP_Sig_pancreatitis	pfxgen_input_gen_phengene	
GABBR1	cui_sig_knockout_noFP_Sig_pancreatitis	phen_sig_knockout_noFP_Sig_pancreatitis	pfxgen_input_gen_phengene	
GRAP2	cui_sig_knockout_noFP_Sig_pancreatitis	phen_sig_knockout_noFP_Sig_pancreatitis	pfxgen_input_gen_phengene	
ALB	C0020557	thrombocytopenia 5	pfxgen_input_gen_phengene	
APOA1	C0020557	thrombocytopenia 5	pfxgen_input_gen_phengene	
APOA2	C0020557	thrombocytopenia 5	pfxgen_input_gen_phengene	
APOA4	C0020557	thrombocytopenia 5	pfxgen_input_gen_phengene	
APOC1	C0020557	thrombocytopenia 5	pfxgen_input_gen_phengene	
APOC2	C0020557	thrombocytopenia 5	pfxgen_input_gen_phengene	
APOC3	C0020557	thrombocytopenia 5	pfxgen_input_gen_phengene	
ATIC	C0020557	thrombocytopenia 5	pfxgen_input_gen_phengene	
ABCG2	C0745103	genetic hypertension	pfxgen_input_gen_phengene	
ALB	C0745103	genetic hypertension	pfxgen_input_gen_phengene	
APOA1	C0745103	genetic hypertension	pfxgen_input_gen_phengene	
APOA2	C0745103	genetic hypertension	pfxgen_input_gen_phengene	
APOA4	C0745103	genetic hypertension	pfxgen_input_gen_phengene	
APOC2	C0745103	genetic hypertension	pfxgen_input_gen_phengene	
APOC3	C0745103	genetic hypertension	pfxgen_input_gen_phengene	
APOC2	cui_sig_tp_noFP_Sig_pancreatitis	phen_sig_tp_noFP_Sig_pancreatitis	pfxgen_input_gen_phengene	
ATM	cui_sig_tp_noFP_Sig_pancreatitis	phen_sig_tp_noFP_Sig_pancreatitis	pfxgen_input_gen_phengene	
DMD	cui_sig_tp_noFP_Sig_pancreatitis	phen_sig_tp_noFP_Sig_pancreatitis	pfxgen_input_gen_phengene	
GABBR1	cui_sig_tp_noFP_Sig_pancreatitis	phen_sig_tp_noFP_Sig_pancreatitis	pfxgen_input_gen_phengene	
GRAP2	cui_sig_tp_noFP_Sig_pancreatitis	phen_sig_tp_noFP_Sig_pancreatitis	pfxgen_input_gen_phengene	
ALB	C0020473	oral dyskinesia	pfxgen_input_gen_phengene	
APOA1	C0020473	oral dyskinesia	pfxgen_input_gen_phengene	
APOA2	C0020473	oral dyskinesia	pfxgen_input_gen_phengene	
APOA4	C0020473	oral dyskinesia	pfxgen_input_gen_phengene	
APOC1	C0020473	oral dyskinesia	pfxgen_input_gen_phengene	
APOC2	C0020473	oral dyskinesia	pfxgen_input_gen_phengene	
APOC3	C0020473	oral dyskinesia	pfxgen_input_gen_phengene	
PPBP	C0020473	oral dyskinesia	pfxgen_input_gen_phengene	
ABCG2	C0020445	brain ischemia	pfxgen_input_gen_phengene	
APOA1	C0020445	brain ischemia	pfxgen_input_gen_phengene	
APOA2	C0020445	brain ischemia	pfxgen_input_gen_phengene	
APOA4	C0020445	brain ischemia	pfxgen_input_gen_phengene	
APOC2	C0020445	brain ischemia	pfxgen_input_gen_phengene	
APOC3	C0020445	brain ischemia	pfxgen_input_gen_phengene	
ATM	cui_noise_pancreatitis	phen_noise_pancreatitis	pfxgen_input_gen_phengene	
NCOA3	cui_noise_pancreatitis	phen_noise_pancreatitis	pfxgen_input_gen_phengene	
TIAM1	cui_noise_pancreatitis	phen_noise_pancreatitis	pfxgen_input_gen_phengene	
ALB	C0751956	neuropathy	pfxgen_input_gen_phengene	
APOA1	C0751956	neuropathy	pfxgen_input_gen_phengene	
ATM	C0751956	neuropathy	pfxgen_input_gen_phengene	
PPBP	C0751956	neuropathy	pfxgen_input_gen_phengene	
