,BCL2,SCN3A,GABRQ,SLC22A6,SCN9A,ABCC2,GABRG2,GABRA6,AKT1,NR1I2,ADRB2,TNF,GABRB2,ADRB1,SCN11A,SCN8A,VDR,CYP2C19,ABCB1,GABRA5,MAPK1,CHRM1,GABRA1,CHRM3,SCN2A,CYP2C9,GABRB1,GABRA2,GABRG3,A,GABRD,GABRP,RELA,MAPK3,GABRA3,CYP3A4,ABCG2,CHRM2,TP53,ALB,CYP2C8,SCN10A,SCN7A,PTGS2,GABRA4,GABRB3,GABRE,AR,ESR1,SCN1A,ABCB11,SCN5A,TSPO,CYP3A5,SLC22A2,CASP3,CYP2D6,SCN4A,GABRG1,CYP2B6,CYP1A2
hypertension,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40347834376039265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34030130155617583,0.0,0.0,0.006297735610588496,0.0,0.0,0.0,0.0
prehypertension,0.24340110877703716,0.0,0.0,0.14955011458965548,0.0,0.0,0.0,0.0,0.7911565931939486,-0.8222588649776504,0.0,-0.0892204776847867,0.0,1.968391778861808,0.0,0.0,-0.779493157636072,-0.6776906091572152,-1.1895053029908227,0.0,0.7091343795380223,1.5747471838565195,-1.8894112903463611,0.0,0.0,-1.2239813277531804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7465760972272868,0.0,-0.295715857299904,-0.036579544420312235,0.0,0.0,0.4388809033759288,0.3540064100355588,-1.3257668176584363,0.0,0.0,0.0,0.0,0.0,-0.8808047588773488,0.0,0.0,-0.28877731703460746,0.0,-0.0334545421232713,0.0,0.0,-0.33853825309761565,0.852526669888027,0.0,0.0,1.2816931080198632,-0.023139092357200318
hypertensive disease,0.5775176635638724,0.0,0.0,-0.95162145028559,0.0,0.1594804737786479,-0.8209033515251829,0.0,0.0,-0.8699903955072167,0.9954291606124367,0.37123619711179495,0.0,1.0263104932372464,0.0,0.0,-1.1338397485435396,-0.5988053297429492,-1.134787809624966,0.0,0.0,1.458166416890463,-1.4404243223174458,0.34660784996862065,0.0,-0.416835577456586,-0.13389612864804998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7127932439036258,0.0,0.0,0.0,-0.35686982870557865,0.0,-1.1728047282204659,0.0,0.0,-0.5988853934247534,0.0,0.0,-1.351055213913603,0.0,0.0,-0.051146584194568835,0.0,0.0,-0.07323086475551992,0.6568495267428928,-0.4869728508082028,0.029226164616793296,0.0,0.0,0.0,-0.24213615629477073
genetic hypertension,-0.0387230141832261,0.0,0.0,0.0,0.6268252388533407,-0.05363994814632787,0.0,0.0,0.0,0.17014148081873479,0.0,0.9631138409579967,0.0,0.0,0.0,0.0,-0.07312994254173834,0.0,0.0,0.0,-0.19917807809332674,0.0,-0.7101327721733266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0046608971044938725,0.0,-0.2151932049553057,0.0,2.0579464959437717,-0.4011615665864331,2.7212997438169433,0.0,0.408374095106277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07107449421700136,-0.13877380129924174,0.0,0.0,0.0,0.0
pulmonary hypertension,0.21982810581774737,-0.15540425030159805,0.0,-0.36763416202159,-0.0002480447394574994,0.006347495989099908,0.0,0.0,0.0,-0.19015544590334024,0.0,-0.08025949452387114,0.0,0.0,-0.00016938483202710603,-0.00042542455439526135,-0.16844608665307917,0.3710779876242776,-0.5566672284551248,0.0,0.0015655545721185431,1.0575863962157388,-1.7682035304443138,0.8906526734338336,-0.0006011556680649754,-0.28867455874662357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13382828507533748,0.0,0.0,-0.04062957633692128,0.0,-0.41526336040903583,-0.19888693363880666,0.9185850950611854,0.0,-0.00024835733531878987,1.2125623418878075,0.0,0.0,0.0,-1.0523213551187467,0.0,-2.1750402175565122e-05,-0.3018469683148082,-3.149542246635803e-05,-0.035872817459605834,0.04603035136038165,0.26639885059694257,0.05329371511304253,0.0,-1.0091184428703124,0.0,0.061187649858972806,0.0
essential hypertension,0.0747480391773798,0.0,0.0,-0.6690603328499392,0.0,0.0,0.0,0.0,0.1045029154104492,0.0,0.0,0.6047784027021175,0.0,0.0,0.0,0.0,0.0,0.0,0.7079414780056396,0.0,1.0074378705749725,0.0,-0.2575075825495493,0.0,0.0,-0.8530599148707304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3766120644667051,0.0,0.0,0.0,0.0,0.37674627860827153,0.2645544672350026,0.0,-0.5924549828285188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4224394261329361,1.0494563080516377,0.0,0.0,0.0,0.0,0.8660265655678572
"hypertension, renovascular",0.0,0.0,0.0,-1.4988143084232393,0.0,0.18818749003202354,-0.11660483205273632,0.0,0.6391074746982901,-0.27317931886951785,0.45521507706364367,0.6392085625180962,0.0,0.31305603895049283,0.0,0.0,-1.1581608472587006,-0.6976129225888125,-0.06819875340007905,0.0,0.36820975669844297,1.851305575336729,-0.7980946094119277,0.5741953309210609,0.0,-0.5284104117874653,-0.18402355241432833,0.0,0.0,-0.5581051002497049,0.0,0.0,0.0,0.6466545073955471,0.0,-0.8092463792378902,0.0,0.0,0.0,0.0,0.29745801365698443,-1.746645454534921,0.0,-0.2275152920393389,-0.12769432847738388,0.0,0.0,-0.6908033324404975,0.0,0.0,-0.22286104899484732,0.0,0.0,-0.43621537809355915,0.0,0.0,0.7956143892077038,0.0,0.0,0.0,-0.09453045661159858
idiopathic pulmonary hypertension,0.8810059276825308,0.0,0.0,-0.860304252581864,0.0,0.4864164942409887,0.0,0.0,0.24657664453733302,-0.16460087907585264,2.224646713935436,0.2713475859551484,0.0,0.0,0.0,0.0,-0.7678034984686053,0.0,0.0,0.0,0.0,1.994280163981518,-2.225387083008217,0.0,0.0,-1.843274275774423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40646762687226656,0.09911691978500345,-0.33739460992065357,-0.13373210656583656,-0.08842491212503405,0.0,-0.16419601779313356,0.0,-0.3075672201900622,0.0,0.0,0.0,-0.2994971256491635,0.0,0.0,0.0,0.0,0.0,0.0,-0.37729087968444375,0.0,0.15502922676762004,0.0,0.0,0.5454585249015711,0.0
renal hypertension,0.6774216509219749,0.41156448949472874,0.0,0.0,0.04017632375272998,-0.5756937596851248,0.0,0.0,0.0,0.0,-0.878468486054507,-0.02789476530994043,0.0,0.0,0.0,0.1336765503815082,0.0,0.0,-0.20006853245756653,0.0,0.0,0.0,-0.024714511454169422,0.0,0.017020579364800215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31224956755801586,0.15765321055957343,0.0,0.0,1.865575112878365,0.0,0.0,0.3722340180802219,0.0,0.0,0.0,0.0,0.0,-0.4304759325137627,0.025687548829744642,-0.15434393370987057,1.1675492732887192,0.0,-0.7538247899356759,-0.2553174446870291,0.0,0.0,0.8161790356801607,0.0,-0.980679860258264,0.3891706001606332
ocular hypertension,0.14889920420204364,0.0,0.0,-0.3465560322574462,0.0,0.0,0.0,0.0,0.0,-0.22443006561128748,0.0,0.3780315820876379,0.0,0.0,0.0,0.0,-0.8737230502578436,0.0,-0.018054293112210226,0.0,0.23280042849249136,0.0,-1.3106057334047856,0.0,0.0,-0.5975614098177754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0803486153594435,0.0,0.0,0.0,1.3685572927102654,0.8661273624284741,-0.15799565580826597,0.16968983202084023,-0.27896287098058514,0.0,0.36991621311853284,0.0,0.0,0.0,-1.4074791272821567,0.0,0.0,0.0,0.0,0.0,-0.5258474714204614,0.0,0.0,-0.010297266034955342,0.0,0.0,-0.07850820270258803,0.15041930259207542
