Drug,Phenotype,Ranked Targets,Common Targets,Overall Percentage,New_DrugBank Total Targets,ChEMBL Total Targets,STITCH Total Targets,TTD Total Targets,New_DrugBank Identified Targets,ChEMBL Identified Targets,STITCH Identified Targets,TTD Identified Targets,New_DrugBank Percentage,ChEMBL Percentage,STITCH Percentage,TTD Percentage
mefenamic acid,hypertension,8,0,0.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mefenamic acid,prehypertension,17,4,23.53,7.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,57.14,50.0,0.0,0.0
mefenamic acid,hypertensive disease,15,3,20.0,7.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,42.86,0.0,0.0,0.0
mefenamic acid,genetic hypertension,8,2,25.0,7.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,28.57,50.0,0.0,0.0
mefenamic acid,pulmonary hypertension,22,6,27.27,7.0,2.0,1.0,1.0,6.0,2.0,1.0,0.0,85.71,100.0,100.0,0.0
mefenamic acid,essential hypertension,7,2,28.57,7.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,28.57,50.0,0.0,0.0
mefenamic acid,"hypertension, renovascular",14,2,14.29,7.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,28.57,50.0,0.0,0.0
mefenamic acid,idiopathic pulmonary hypertension,11,1,9.09,7.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,14.29,50.0,0.0,0.0
mefenamic acid,renal hypertension,3,2,66.67,7.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,28.57,50.0,0.0,0.0
mefenamic acid,ocular hypertension,19,3,15.79,7.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,42.86,50.0,0.0,0.0
mefenamic acid,"hypertension, portal",0,0,0.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mefenamic acid,phen_tp_hypertension,6,0,0.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mefenamic acid,phen_sig_tp_noFP_Dis_hypertension,5,0,0.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mefenamic acid,phen_sig_tp_noFP_Sig_hypertension,19,3,15.79,7.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,42.86,0.0,0.0,0.0
mefenamic acid,pancreatitis,10,3,30.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,0.0,42.86,50.0,100.0,0.0
mefenamic acid,acute pancreatitis,17,4,23.53,7.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0,57.14,50.0,0.0,0.0
