Drug,Phenotype,Ranked Targets,Common Targets,Overall Percentage,New_DrugBank Total Targets,ChEMBL Total Targets,TTD Total Targets,PubChem Total Targets,New_DrugBank Identified Targets,ChEMBL Identified Targets,TTD Identified Targets,PubChem Identified Targets,New_DrugBank Percentage,ChEMBL Percentage,TTD Percentage,PubChem Percentage
mefenamic acid,hypertension,2,0,0.0,7,2,1,1,0,0,0,0,0.0,0.0,0.0,0.0
mefenamic acid,prehypertension,11,2,18.18,7,2,1,1,2,0,0,0,28.57,0.0,0.0,0.0
mefenamic acid,hypertensive disease,9,0,0.0,7,2,1,1,0,0,0,0,0.0,0.0,0.0,0.0
mefenamic acid,genetic hypertension,6,1,16.67,7,2,1,1,1,0,0,0,14.29,0.0,0.0,0.0
mefenamic acid,pulmonary hypertension,13,2,15.38,7,2,1,1,2,1,0,0,28.57,50.0,0.0,0.0
mefenamic acid,essential hypertension,10,2,20.0,7,2,1,1,2,0,0,0,28.57,0.0,0.0,0.0
mefenamic acid,"hypertension, renovascular",11,1,9.09,7,2,1,1,1,0,0,0,14.29,0.0,0.0,0.0
mefenamic acid,idiopathic pulmonary hypertension,9,0,0.0,7,2,1,1,0,0,0,0,0.0,0.0,0.0,0.0
mefenamic acid,renal hypertension,12,2,16.67,7,2,1,1,2,0,0,0,28.57,0.0,0.0,0.0
mefenamic acid,ocular hypertension,9,3,33.33,7,2,1,1,3,1,0,0,42.86,50.0,0.0,0.0
mefenamic acid,"hypertension, portal",2,1,50.0,7,2,1,1,1,0,0,0,14.29,0.0,0.0,0.0
mefenamic acid,phen_tp_hypertension,12,1,8.33,7,2,1,1,1,0,0,0,14.29,0.0,0.0,0.0
mefenamic acid,phen_sig_tp_noFP_Dis_hypertension,12,1,8.33,7,2,1,1,1,0,0,0,14.29,0.0,0.0,0.0
mefenamic acid,phen_sig_tp_noFP_Sig_hypertension,14,1,7.14,7,2,1,1,1,0,0,0,14.29,0.0,0.0,0.0
mefenamic acid,pancreatitis,7,1,14.29,7,2,1,1,1,1,0,0,14.29,50.0,0.0,0.0
mefenamic acid,acute pancreatitis,12,2,16.67,7,2,1,1,2,1,0,0,28.57,50.0,0.0,0.0
mefenamic acid,pancreatitis idiopathic,4,0,0.0,7,2,1,1,0,0,0,0,0.0,0.0,0.0,0.0
mefenamic acid,adenocarcinoma of pancreas,13,2,15.38,7,2,1,1,2,0,0,0,28.57,0.0,0.0,0.0
mefenamic acid,phen_tp_pancreatitis,12,3,25.0,7,2,1,1,3,1,0,0,42.86,50.0,0.0,0.0
mefenamic acid,phen_sig_tp_noFP_Dis_pancreatitis,9,2,22.22,7,2,1,1,2,1,0,0,28.57,50.0,0.0,0.0
mefenamic acid,phen_sig_tp_noFP_Sig_pancreatitis,16,3,18.75,7,2,1,1,3,0,0,0,42.86,0.0,0.0,0.0
mefenamic acid,thrombocytopenia 5,2,2,100.0,7,2,1,1,2,1,0,0,28.57,50.0,0.0,0.0
mefenamic acid,thrombocytopenia 6,13,2,15.38,7,2,1,1,2,0,0,0,28.57,0.0,0.0,0.0
mefenamic acid,macrothrombocytopenia,4,1,25.0,7,2,1,1,1,0,0,0,14.29,0.0,0.0,0.0
mefenamic acid,idiopathic thrombocytopenia,12,3,25.0,7,2,1,1,3,0,0,0,42.86,0.0,0.0,0.0
mefenamic acid,thrombocytopenia due to platelet alloimmunization,25,0,0.0,7,2,1,1,0,0,0,0,0.0,0.0,0.0,0.0
mefenamic acid,phen_tp_thrombocytopenia,10,2,20.0,7,2,1,1,2,1,0,0,28.57,50.0,0.0,0.0
mefenamic acid,phen_sig_tp_noFP_Sig_thrombocytopenia,12,2,16.67,7,2,1,1,2,0,0,0,28.57,0.0,0.0,0.0
mefenamic acid,myocardial infarction,10,1,10.0,7,2,1,1,1,0,0,0,14.29,0.0,0.0,0.0
mefenamic acid,old myocardial infarction,16,1,6.25,7,2,1,1,1,0,0,0,14.29,0.0,0.0,0.0
mefenamic acid,acute myocardial infarction,6,1,16.67,7,2,1,1,1,0,0,0,14.29,0.0,0.0,0.0
mefenamic acid,phen_sig_tp_noFP_Sig_myocardial infarction,14,1,7.14,7,2,1,1,1,0,0,0,14.29,0.0,0.0,0.0
estazolam,hypertension,2,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,prehypertension,11,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,hypertensive disease,9,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,genetic hypertension,6,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,pulmonary hypertension,13,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,essential hypertension,10,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,"hypertension, renovascular",11,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,idiopathic pulmonary hypertension,9,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,renal hypertension,12,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,ocular hypertension,9,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,"hypertension, portal",2,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,phen_tp_hypertension,12,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,phen_sig_tp_noFP_Dis_hypertension,12,2,16.67,1,16,1,29,1,1,0,2,100.0,6.25,0.0,6.9
estazolam,phen_sig_tp_noFP_Sig_hypertension,14,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,pancreatitis,7,1,14.29,1,16,1,29,1,0,0,1,100.0,0.0,0.0,3.45
estazolam,acute pancreatitis,12,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,pancreatitis idiopathic,4,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,adenocarcinoma of pancreas,13,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,phen_tp_pancreatitis,12,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,phen_sig_tp_noFP_Dis_pancreatitis,9,1,11.11,1,16,1,29,0,1,0,1,0.0,6.25,0.0,3.45
estazolam,phen_sig_tp_noFP_Sig_pancreatitis,16,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,thrombocytopenia 5,2,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,thrombocytopenia 6,13,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,macrothrombocytopenia,4,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,idiopathic thrombocytopenia,12,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,thrombocytopenia due to platelet alloimmunization,25,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,phen_tp_thrombocytopenia,10,1,10.0,1,16,1,29,1,0,0,1,100.0,0.0,0.0,3.45
estazolam,phen_sig_tp_noFP_Sig_thrombocytopenia,12,1,8.33,1,16,1,29,1,0,0,1,100.0,0.0,0.0,3.45
estazolam,myocardial infarction,10,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,old myocardial infarction,16,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,acute myocardial infarction,6,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
estazolam,phen_sig_tp_noFP_Sig_myocardial infarction,14,0,0.0,1,16,1,29,0,0,0,0,0.0,0.0,0.0,0.0
triazolam,hypertension,2,1,50.0,4,16,1,44,1,0,0,1,25.0,0.0,0.0,2.27
triazolam,prehypertension,11,2,18.18,4,16,1,44,1,0,0,2,25.0,0.0,0.0,4.55
triazolam,hypertensive disease,9,1,11.11,4,16,1,44,0,0,0,1,0.0,0.0,0.0,2.27
triazolam,genetic hypertension,6,0,0.0,4,16,1,44,0,0,0,0,0.0,0.0,0.0,0.0
triazolam,pulmonary hypertension,13,3,23.08,4,16,1,44,2,0,0,3,50.0,0.0,0.0,6.82
triazolam,essential hypertension,10,0,0.0,4,16,1,44,0,0,0,0,0.0,0.0,0.0,0.0
triazolam,"hypertension, renovascular",11,1,9.09,4,16,1,44,1,0,0,1,25.0,0.0,0.0,2.27
triazolam,idiopathic pulmonary hypertension,9,0,0.0,4,16,1,44,0,0,0,0,0.0,0.0,0.0,0.0
triazolam,renal hypertension,12,0,0.0,4,16,1,44,0,0,0,0,0.0,0.0,0.0,0.0
triazolam,ocular hypertension,9,1,11.11,4,16,1,44,1,0,0,1,25.0,0.0,0.0,2.27
triazolam,"hypertension, portal",2,1,50.0,4,16,1,44,0,0,0,1,0.0,0.0,0.0,2.27
triazolam,phen_tp_hypertension,12,1,8.33,4,16,1,44,0,0,0,1,0.0,0.0,0.0,2.27
triazolam,phen_sig_tp_noFP_Dis_hypertension,12,3,25.0,4,16,1,44,1,1,0,3,25.0,6.25,0.0,6.82
triazolam,phen_sig_tp_noFP_Sig_hypertension,14,2,14.29,4,16,1,44,1,0,0,2,25.0,0.0,0.0,4.55
triazolam,pancreatitis,7,1,14.29,4,16,1,44,1,0,0,1,25.0,0.0,0.0,2.27
triazolam,acute pancreatitis,12,1,8.33,4,16,1,44,1,0,0,1,25.0,0.0,0.0,2.27
triazolam,pancreatitis idiopathic,4,1,25.0,4,16,1,44,0,0,0,1,0.0,0.0,0.0,2.27
triazolam,adenocarcinoma of pancreas,13,0,0.0,4,16,1,44,0,0,0,0,0.0,0.0,0.0,0.0
triazolam,phen_tp_pancreatitis,12,1,8.33,4,16,1,44,1,0,0,1,25.0,0.0,0.0,2.27
triazolam,phen_sig_tp_noFP_Dis_pancreatitis,9,1,11.11,4,16,1,44,0,1,0,1,0.0,6.25,0.0,2.27
triazolam,phen_sig_tp_noFP_Sig_pancreatitis,16,1,6.25,4,16,1,44,1,0,0,1,25.0,0.0,0.0,2.27
triazolam,thrombocytopenia 5,2,0,0.0,4,16,1,44,0,0,0,0,0.0,0.0,0.0,0.0
triazolam,thrombocytopenia 6,13,2,15.38,4,16,1,44,1,0,0,2,25.0,0.0,0.0,4.55
triazolam,macrothrombocytopenia,4,0,0.0,4,16,1,44,0,0,0,0,0.0,0.0,0.0,0.0
triazolam,idiopathic thrombocytopenia,12,1,8.33,4,16,1,44,1,0,0,1,25.0,0.0,0.0,2.27
triazolam,thrombocytopenia due to platelet alloimmunization,25,3,12.0,4,16,1,44,1,0,0,3,25.0,0.0,0.0,6.82
triazolam,phen_tp_thrombocytopenia,10,2,20.0,4,16,1,44,2,0,0,2,50.0,0.0,0.0,4.55
triazolam,phen_sig_tp_noFP_Sig_thrombocytopenia,12,1,8.33,4,16,1,44,1,0,0,1,25.0,0.0,0.0,2.27
triazolam,myocardial infarction,10,0,0.0,4,16,1,44,0,0,0,0,0.0,0.0,0.0,0.0
triazolam,old myocardial infarction,16,1,6.25,4,16,1,44,0,0,0,1,0.0,0.0,0.0,2.27
triazolam,acute myocardial infarction,6,1,16.67,4,16,1,44,1,0,0,1,25.0,0.0,0.0,2.27
triazolam,phen_sig_tp_noFP_Sig_myocardial infarction,14,1,7.14,4,16,1,44,1,0,0,1,25.0,0.0,0.0,2.27
oxaliplatin,hypertension,2,0,0.0,10,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0
oxaliplatin,prehypertension,11,0,0.0,10,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0
oxaliplatin,hypertensive disease,9,1,11.11,10,1,1,1,1,0,0,0,10.0,0.0,0.0,0.0
oxaliplatin,genetic hypertension,6,0,0.0,10,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0
oxaliplatin,pulmonary hypertension,13,1,7.69,10,1,1,1,1,0,0,0,10.0,0.0,0.0,0.0
oxaliplatin,essential hypertension,10,1,10.0,10,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0
oxaliplatin,"hypertension, renovascular",11,1,9.09,10,1,1,1,1,0,0,0,10.0,0.0,0.0,0.0
oxaliplatin,idiopathic pulmonary hypertension,9,2,22.22,10,1,1,1,2,0,0,0,20.0,0.0,0.0,0.0
oxaliplatin,renal hypertension,12,1,8.33,10,1,1,1,1,0,0,0,10.0,0.0,0.0,0.0
oxaliplatin,ocular hypertension,9,1,11.11,10,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0
oxaliplatin,"hypertension, portal",2,0,0.0,10,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0
oxaliplatin,phen_tp_hypertension,12,1,8.33,10,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0
oxaliplatin,phen_sig_tp_noFP_Dis_hypertension,12,1,8.33,10,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0
oxaliplatin,phen_sig_tp_noFP_Sig_hypertension,14,1,7.14,10,1,1,1,1,0,0,0,10.0,0.0,0.0,0.0
oxaliplatin,pancreatitis,7,1,14.29,10,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0
oxaliplatin,acute pancreatitis,12,2,16.67,10,1,1,1,1,0,0,0,10.0,0.0,0.0,0.0
oxaliplatin,pancreatitis idiopathic,4,1,25.0,10,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0
oxaliplatin,adenocarcinoma of pancreas,13,1,7.69,10,1,1,1,1,0,0,0,10.0,0.0,0.0,0.0
oxaliplatin,phen_tp_pancreatitis,12,1,8.33,10,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0
oxaliplatin,phen_sig_tp_noFP_Dis_pancreatitis,9,1,11.11,10,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0
oxaliplatin,phen_sig_tp_noFP_Sig_pancreatitis,16,2,12.5,10,1,1,1,1,0,0,0,10.0,0.0,0.0,0.0
oxaliplatin,thrombocytopenia 5,2,0,0.0,10,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0
oxaliplatin,thrombocytopenia 6,13,1,7.69,10,1,1,1,1,0,0,0,10.0,0.0,0.0,0.0
oxaliplatin,macrothrombocytopenia,4,0,0.0,10,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0
oxaliplatin,idiopathic thrombocytopenia,12,3,25.0,10,1,1,1,2,0,0,0,20.0,0.0,0.0,0.0
