,SLC6A4,REN,ABCC2,HTR1B,PTGS1,HTR2C,CYP3A7,HTR1A,DRD4,SLC6A3,CYP2C19,ABCB1,ADRA1B,CYP2A6,CHRM1,CHRM3,DRD2,CHRM5,DRD5,SLCO2B1,CYP2C9,HTR2B,HTR6,D2R,UGT1A1,SLC6A2,CYP3A4,ABCG2,CHRM2,HRH2,SLCO1B1,ALB,CYP2C8,OPRM1,HTR2A,HRH1,ADRA1D,OPRK1,PTGS2,ADRA2B,ADRA1A,ORM1,ABCB11,HTR7,CYP3A5,CYP2E1,DRD3,CYP2D6,ABCC1,CYP1A1,ADRA2C,DRD1,CHRM4,ADRA2A,CYP2B6,SLC22A8,CYP1A2
hypertension,1.3561334957550357,0.0,0.0,0.0,0.0,0.30829881093566064,0.0,0.0,0.0,0.0,0.0,0.0,0.10266877794561749,0.0,0.0,0.0,0.973110653515657,0.0,0.0,0.0,0.0,0.0,0.0,1.1848428825457602,0.0,1.0965241317535506,0.2630580163879408,0.0,0.0,0.0,0.0,-0.6708406855747583,0.0,0.0,1.1791538748131458,0.0,0.0,0.0,0.0,0.0,0.0,-0.4353532423758443,0.0,0.0,-0.07571916709465121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prehypertension,-0.24309134557195727,0.1645919925594975,0.0,0.0,0.3860177074419857,0.0,-0.7109200818286772,1.343993671863218,0.0,0.0,0.0,-0.3864545690286844,0.3294193856876945,-1.3104226963444863,0.0,0.0,0.0,0.0,0.0,-0.46271390949780933,-0.6024850295349553,-0.5128002639079426,-1.3711935486095352,0.0,0.32281292190369126,-0.12181058412427366,-0.09788987217200733,0.0,0.0,0.9670960176315634,-0.5849555247834265,0.4066262935354052,0.4195260123373174,0.0,0.0,0.0,0.0,1.660533518480998,-0.7571553089227031,0.0,0.0,0.6026298734609791,0.2373712793946149,1.358336631177619,0.0,-1.2053442390431481,0.0,0.4545000132069616,0.0,-0.49462595747561205,0.0,0.0,0.0,0.19040918170295373,0.15625603321873038,0.13383559944078977,0.25575490509417803
hypertensive disease,-0.24854285213604735,1.2173264605267213,0.3910243566909646,0.0,0.0,0.0,-0.6334751897053632,2.2032757999060077,0.0,0.0,-0.10856815783653269,-0.14260232874408268,0.5362436108417915,-1.2139311821261816,0.0,0.0,0.0,0.0,0.0,-1.004642921765768,-0.6030674656271393,-0.045061453329833384,-2.059425434311485,0.0,0.0,0.0,-0.8911937767162015,-2.5049851234210125,0.0,0.9752992099580965,0.029124854936099596,0.19175374897133413,0.5899403483868125,0.32096799943054105,0.0,0.0,0.0,2.0152082456047298,-0.6678691574577543,0.0,0.0,0.0,0.018585179136717405,1.7089761213672934,-0.18222184234325484,-1.2244539113721087,0.0,0.3885606746060845,-0.7502954636975198,-0.8637694704527705,0.0,0.0,0.0,0.0,0.09170765086556114,0.0,0.45249384701841805
genetic hypertension,0.0,0.741069813371018,0.0,0.0,0.3262537229472938,0.0,0.0,0.21865798896430125,-0.03179922756214115,0.0,0.0,-0.09531537180726339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024525405605262743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25479538513797206,0.0,0.0,0.6988401579501085,1.9233579878578217,0.0,0.0,0.0,0.0,0.0,0.0,-0.3836306081886285,0.0,0.0,0.26949115731503387,-0.05011386652009468,0.0,0.0,-0.5001442772821842,-0.15655706552821802,-0.221745513605279,-0.3671141941216604,0.0,0.0,-0.03846684552027782,0.11082319921282228,-0.23832255046029863,0.0,0.0,0.0
pulmonary hypertension,0.4229215954657393,1.2749536374022667,0.0,0.0,0.840017533600681,0.5720993612053543,0.0,0.14363526672438384,0.0,0.0,-0.3805034687162056,0.04617463648342977,0.0,-0.4299005454371316,0.0,0.0,0.0,0.0,0.0,0.0,0.06803409378646817,-0.6948699808375998,-0.05836679712615401,0.5414769497634525,0.0,0.0,-0.17531990250626278,-0.15467446255927236,0.006873801427271776,0.02621823798416013,0.05235980561058472,0.07702301582524523,0.5912675211461988,0.0,0.6753034013294463,0.9646863652229338,0.0,0.0,0.6244215153022037,0.0,0.6434168901314024,-0.9495282726202879,0.2010631419199764,0.6584921293109056,-0.705073416192675,0.0,0.0,-0.14482283848012079,-0.42635345503840777,-0.14272610374646524,0.0,0.0,0.0,0.05363872408330228,0.3503918304749606,0.0,0.30652808153186556
essential hypertension,-0.3408149795266948,0.0,0.0,0.0,0.7997716543744225,-0.9796158289427139,-0.9175351616278281,-0.0671565822675074,0.0,0.0,0.8202123332362862,-0.8170895965230979,0.0,0.0,0.0,0.0,-0.550640044905792,0.0,0.0,0.0,-0.539997585028414,0.0,0.0,0.0,0.0,0.0,1.3783555172048567,2.546069427973442,0.0,0.0,-1.1365314185945554,0.023622990590957446,-0.13315183029810412,0.0,0.0,-0.33876742874932675,0.0,0.0,0.0,0.0,0.0,1.9828217489157762,0.0,0.0,0.0,-1.1336188667539722,0.0,-0.0063656959885418475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9542969421401619,0.0
"hypertension, renovascular",0.0,0.15087134793071663,0.0,0.0,0.16081734947873796,0.0,-1.4041656438043089,0.7390255491515411,0.0,0.0,-0.46633760886892317,-0.039133232594315615,0.45738941452282494,-1.3184258222252299,0.0,0.0,0.061205151264717664,0.0,0.0,0.0,-0.6143332026291292,-0.6093274846988023,-0.2825569444039591,0.0,0.5523994369693078,-0.21358238612817085,-0.03965549028503723,-0.02444767243905878,0.0,1.313977166246699,-0.2976930102098707,0.23190950544115604,0.0,-0.4136709027031859,0.2626831714721789,0.0,0.0,0.0,-0.8891397630369291,0.0,0.0,0.20825351808096074,0.0,0.738545160723404,-0.07390732134644028,-0.7810121133490753,0.0,0.5310252324705071,-0.23799112925849442,-0.10917225223745661,0.0,0.0,0.0,0.5372003334929788,0.12725552913056293,0.0,0.0
idiopathic pulmonary hypertension,0.0,1.2696860371876775,0.0,-0.2897039024548838,0.29531615212397755,0.0,-0.32496976355791896,-0.5839533281974939,-0.5768221855589442,0.0,-0.2939657430014937,-0.7946148917039059,0.21205521550330073,-1.1569528951130172,0.0,0.7682347040975085,-0.5431023008693342,0.0,0.0,0.0,-0.1860699081968278,-0.01207720851722397,0.0,0.14572000137367713,0.2133550602157016,-0.7961268945640528,0.0,0.5806399854766722,0.0,0.0,0.0,-0.12468978911229353,-0.05492745733909532,-0.4278445596625656,0.0,1.400564438737024,0.0,0.0,-0.7107821293523813,0.0,0.0,1.4764685679876441,0.4146641208633212,-0.1076482473340529,-0.30405761560060024,-1.5050937687129256,-0.7767732398216723,0.15118668540513755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0884404955508891,-0.74650521177681
renal hypertension,0.0,0.0,0.0,0.0,0.3572422258551078,0.0,1.022758275368299,0.0,0.0,0.0,-0.05164367976215025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5768696397200888,-0.21830428345742087,0.0,0.0,0.0,0.0,0.0,0.0,-0.014220845145061403,0.0,0.0,-0.03981013285378905,-0.11828589013107596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4489391124106742
ocular hypertension,-0.46796495303771835,0.4836477439710451,0.28202632023769053,0.0,0.3816924632358911,0.0,-1.1975253015959575,1.7286712126409365,0.2746337314383804,-0.09542450246290637,-0.12954068454167772,0.2244459722181852,0.0,-0.40563408335440765,0.0,0.0,1.1366556316996432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026357030940892174,0.0,0.25908136464795106,0.6252174497241128,0.0,0.0,-0.0371403077251679,0.053284811348149524,0.21358583054410954,1.0336612611374194,0.0,-0.3073470041532793,-0.24914350806811528,1.6505669775907865,0.0,-0.40677918017442705,0.0,0.7357799042366648,-0.3339912206243756,0.863024932688867,-0.2560542415981204,-1.3282770931607282,0.012140731161351564,0.0839236454793675,0.0,-0.39840884651798414,-0.370063185459437,0.0,0.0,0.0,0.42088933918754207,-0.18433134954787095,-0.008102385447356497
