Drug_Database,Targets
metformin_ChEMBL,"['NDUFA6', 'NDUFC2', 'NDUFS6', 'NDUFS5', 'NDUFA12', 'MT-ND2', 'NDUFA5', 'NDUFA2', 'NDUFS8', 'NDUFS2', 'NDUFS4', 'MT-ND6', 'MT-ND5', 'NDUFC1', 'NDUFB11', 'NDUFAB1', 'NDUFA11', 'NDUFB6', 'NDUFV3', 'NDUFAF3', 'NDUFS3', 'NDUFV2', 'NDUFA4', 'NDUFB3', 'MT-ND4', 'NDUFB1', 'NDUFB4', 'MT-ND4L', 'NDUFB2', 'NDUFAF4', 'NDUFV1', 'NDUFB10', 'NDUFB8', 'NDUFAF1', 'MT-ND3', 'NDUFA3', 'NDUFS1', 'GPD2', 'NDUFB9', 'NDUFA10', 'NDUFA4L2', 'NDUFAF2', 'NDUFA13', 'NDUFA8', 'NDUFA1', 'MT-ND1', 'NDUFB5', 'NDUFS7', 'NDUFA9', 'NDUFA7', 'NDUFB7']"
guanidine_ChEMBL,"['KCNV1', 'KCNA10', 'KCNH4', 'KCNA6', 'KCND1', 'KCNB1', 'KCNH1', 'KCNC4', 'KCNC1', 'KCNG3', 'KCNA7', 'KCNQ5', 'KCNG2', 'KCNB2', 'KCNG4', 'KCND2', 'KCNS1', 'KCNA2', 'KCNC3', 'KCNA3', 'KCNQ2', 'KCNH2', 'KCNC2', 'KCNQ4', 'KCNQ1', 'KCNA5', 'KCNQ3', 'KCNH7', 'KCNF1', 'KCNG1', 'KCNH5', 'KCNH3', 'KCNS2', 'KCNH6', 'KCNS3', 'KCNV2', 'KCNA1', 'KCND3', 'KCNA4', 'KCNH8']"
dalfampridine_ChEMBL,"['KCNV1', 'KCNA10', 'KCNH4', 'KCNA6', 'KCND1', 'KCNB1', 'KCNH1', 'KCNC4', 'KCNC1', 'KCNG3', 'KCNA7', 'KCNQ5', 'KCNG2', 'KCNB2', 'KCNG4', 'KCND2', 'KCNS1', 'KCNA2', 'KCNC3', 'KCNA3', 'KCNQ2', 'KCNH2', 'KCNC2', 'KCNQ4', 'KCNQ1', 'KCNA5', 'KCNQ3', 'KCNH7', 'KCNF1', 'KCNG1', 'KCNH5', 'KCNH3', 'KCNS2', 'KCNH6', 'KCNS3', 'KCNV2', 'KCNA1', 'KCND3', 'KCNA4', 'KCNH8']"
ixazomib_ChEMBL,"['PSMB6', 'PSMD11', 'PSMB4', 'PSMA6', 'PSMB3', 'PSMC5', 'PSMD4', 'PSMA3', 'PSMB10', 'PSMA5', 'PSMD7', 'PSMA8', 'ADRM1', 'PSMB11', 'PSMD13', 'PSMB5', 'SEM1', 'PSMD6', 'PSMB1', 'PSMB2', 'PSMB8', 'PSMA7', 'PSMC2', 'PSMC3', 'PSMD12', 'PSMD2', 'PSMD1', 'PSMC4', 'PSMB9', 'PSMB7', 'PSMD8', 'PSMA1', 'PSMA4', 'PSMA2', 'PSMC6', 'PSMD3', 'PSMC1', 'PSMD14']"
carfilzomib_ChEMBL,"['PSMB6', 'PSMD11', 'PSMB4', 'PSMA6', 'PSMB3', 'PSMC5', 'PSMD4', 'PSMA3', 'PSMB10', 'PSMA5', 'PSMD7', 'PSMA8', 'ADRM1', 'PSMB11', 'PSMD13', 'PSMB5', 'SEM1', 'PSMD6', 'PSMB1', 'PSMB2', 'PSMB8', 'PSMA7', 'PSMC2', 'PSMC3', 'PSMD12', 'PSMD2', 'PSMD1', 'PSMC4', 'PSMB9', 'PSMB7', 'PSMD8', 'PSMA1', 'PSMA4', 'PSMA2', 'PSMC6', 'PSMD3', 'PSMC1', 'PSMD14']"
bortezomib_ChEMBL,"['PSMB6', 'PSMD11', 'PSMB4', 'PSMA6', 'PSMB3', 'PSMC5', 'PSMD4', 'PSMA3', 'PSMB10', 'PSMA5', 'PSMD7', 'PSMA8', 'ADRM1', 'PSMB11', 'PSMD13', 'PSMB5', 'SEM1', 'PSMD6', 'PSMB1', 'PSMB2', 'PSMB8', 'PSMA7', 'PSMC2', 'PSMC3', 'PSMD12', 'PSMD2', 'PSMD1', 'PSMC4', 'PSMB9', 'PSMB7', 'PSMD8', 'PSMA1', 'PSMA4', 'PSMA2', 'PSMC6', 'PSMD3', 'PSMC1', 'PSMD14']"
topiramate_ChEMBL,"['GRIA3', 'GABRB2', 'GABRA1', 'GABRA6', 'SCN9A', 'GABRE', 'GRIA2', 'GABRA3', 'GRIK5', 'GRIA4', 'SCN1A', 'SCN5A', 'GABRB3', 'GABRG2', 'SCN10A', 'GRIK3', 'SCN8A', 'GRIK1', 'GRIA1', 'GABRA2', 'GABRB1', 'SCN11A', 'GABRG1', 'GABRA5', 'GABRA4', 'GABRG3', 'GABRD', 'CA4', 'GABRQ', 'SCN7A', 'GABRP', 'GRIK4', 'SCN3A', 'CA2', 'SCN4A', 'SCN2A', 'GRIK2']"
gabapentin_ChEMBL,"['CACNB2', 'CACNA1I', 'CACNG3', 'CACNG1', 'CACNG5', 'CACNG2', 'CACNB1', 'CACNA2D2', 'CACNG4', 'CACNG7', 'CACNA1S', 'CACNA1C', 'CACNA1G', 'CACNA2D1', 'CACNA1D', 'CACNA1E', 'CACNG6', 'CACNB3', 'CACNA1B', 'CACNG8', 'CACNA2D4', 'CACNA1H', 'CACNA1F', 'CACNB4', 'CACNA2D3', 'CACNA1A']"
pregabalin_ChEMBL,"['CACNB2', 'CACNA1I', 'CACNG3', 'CACNG1', 'CACNG5', 'CACNG2', 'CACNB1', 'CACNA2D2', 'CACNG4', 'CACNG7', 'CACNA1S', 'CACNA1C', 'CACNA1G', 'CACNA2D1', 'CACNA1D', 'CACNA1E', 'CACNG6', 'CACNB3', 'CACNA1B', 'CACNG8', 'CACNA2D4', 'CACNA1H', 'CACNA1F', 'CACNB4', 'CACNA2D3', 'CACNA1A']"
primidone_ChEMBL,"['GABRB2', 'GABRA1', 'GABRA6', 'SCN9A', 'GABRE', 'GABRA3', 'SCN1A', 'SCN5A', 'GABRB3', 'GABRG2', 'SCN10A', 'SCN8A', 'GABRA2', 'GABRB1', 'SCN11A', 'GABRG1', 'GABRA5', 'GABRA4', 'GABRG3', 'GABRD', 'GABRQ', 'SCN7A', 'GABRP', 'SCN3A', 'SCN4A', 'SCN2A']"
pentoxifylline_ChEMBL,"['ADORA2A', 'PDE1C', 'PDE6A', 'PDE6G', 'PDE4C', 'PDE3B', 'PDE7B', 'PDE6D', 'PDE6C', 'PDE8A', 'PDE4A', 'PDE1A', 'PDE6B', 'PDE2A', 'PDE10A', 'ADORA2B', 'PDE5A', 'PDE4D', 'PDE4B', 'PDE9A', 'PDE6H', 'PDE8B', 'PDE3A', 'PDE7A', 'PDE1B']"
vandetanib_ChEMBL,"['KDR', 'FLT1', 'EPHB6', 'TEK', 'ERBB4', 'FLT4', 'ERBB2', 'EPHB3', 'EPHA2', 'EGFR', 'ERBB3', 'EPHB4', 'EPHA1', 'RET', 'EPHA4', 'EPHA5', 'EPHA6', 'PTK6', 'EPHA8', 'EPHB1', 'EPHB2', 'EPHA7', 'EPHA10', 'EPHA3', 'SRC']"
