Drug,Targets
metronidazole,"['NQO1', 'TTR', 'FABP7', 'AKR1C2', 'ALDH2', 'AKT2', 'AKR1C3', 'ZAP70', 'CYB5R3', 'KAT2A', 'HSD17B4', 'STK16', 'MAP3K5', 'CRABP2', 'GRHPR', 'CSNK1G3', 'CAMK1G', 'KAT5', 'HSD17B8', 'GIF', 'SGK1', 'RTN4IP1', 'STK11', 'SRPK2', 'RPS6KA1', 'MAPK11', 'NMT1', 'ERBB3', 'RPS6KA5', 'CD1C', 'LIMK1', 'BMX', 'PARP15', 'FABP1', 'PCNA', 'GSK3B', 'MAP2K1', 'KLHL40', 'PDPK1', 'CAMK1', 'TRMT10A', 'EIF2AK3']"
tipranavir,"['MAPK12', 'GALE', 'AIFM1', 'PGA4', 'CBR1', 'GALK1', 'SPR', 'HSD17B4', 'DIMT1', 'MDH2', 'PHGDH', 'GRHPR', 'CBR3', 'HSD17B10', 'TK1', 'ZAP70', 'ERBB4', 'SRC', 'NMRAL1', 'MUT', 'STK25', 'MAPK1', 'RPS6KB1', 'NME2', 'OXSR1', 'ARL2', 'ACSS1', 'MAPK11', 'EGFR', 'THRB', 'HSDL2', 'PARP14', 'JAK2', 'PARP15', 'KIF23', 'PCNA', 'GSK3B', 'DECR2', 'STK32A', 'THEM4', 'PTK2', 'PEA15']"
fludarabine,"['UAP1', 'AHCY', 'SOS1', 'DCXR', 'GMDS', 'ADH1C', 'DHRS11', 'SPR', 'HSD17B4', 'TRMT61B', 'TCN2', 'GMPR', 'MDH2', 'PDK4', 'GRHPR', 'HSD17B10', 'GIF', 'UGDH', 'RTN4IP1', 'KDM1A', 'MAOB', 'MUT', 'TLR1', 'NME2', 'ADH4', 'GSR', 'UPP1', 'ACSS1', 'GAPDH', 'THRB', 'REN', 'PANK3', 'KHK', 'DHRS4', 'UPP2', 'SIRT6', 'TXN', 'RNLS', 'PARP15', 'PCNA', 'GSK3B', 'TBK1']"
fluconazole,"['ETFA', 'ACADM', 'BPI', 'QDPR', 'GSTA1', 'PCTP', 'PROCR', 'CYP2C9', 'ACAD8', 'ACAT2', 'UXS1', 'TCN2', 'ZADH2', 'TP53I3', 'CYP2C8', 'NAA50', 'GIF', 'ACADS', 'PTGR1', 'TLR1', 'NME2', 'CYP2R1', 'GSR', 'CYP2E1', 'THRB', 'CYP2B6', 'CYP46A1', 'CYP11A1', 'CYP3A4', 'CYP1B1', 'RNLS', 'GSTK1', 'CYP19A1', 'MMACHC', 'CYP17A1', 'CYP2D6', 'PCNA', 'F2R', 'CD1D', 'NCOA1', 'CYP1A1', 'CARM1']"
sitagliptin,"['HSD17B1', 'NQO1', 'PNLIP', 'PROCR', 'ACAD8', 'GMDS', 'LSS', 'CRYZ', 'AKR7A2', 'COL4A3BP', 'GRHPR', 'FNTB', 'DGUOK', 'GIF', 'MAVS', 'ACADS', 'RTN4IP1', 'NME2', 'FOLH1', 'EP300', 'PREP', 'NAALAD2', 'THRB', 'CD1D', 'EPHX2', 'GSTA4', 'GIF', 'HSDL2', 'PANK3', 'CYCS', 'ACE', 'AGER', 'PXN', 'RELA', 'FASN', 'AIM2', 'PCNA', 'PIK3R1', 'DPP4', 'CD1D', 'HIST1H3H', 'OGT', 'NLRP1']"
miglustat,"['F2', 'HLA-DRA', 'ACADM', 'GALE', 'AKR1C2', 'BHMT', 'F2R', 'ACAD8', 'AKR1C3', 'GMDS', 'AKR1B1', 'LSS', 'CHIT1', 'AKR1B10', 'AKR1C4', 'ALDH7A1', 'GPD1L', 'GIF', 'NME2', 'FOLH1', 'DCPS', 'SETMAR', 'ACSM2A', 'ADH4', 'NAALAD2', 'CA4', 'THAP4', 'CA9', 'PNMT', 'PHF8', 'MGAM', 'SI', 'CDK16', 'RNLS', 'DDC', 'MGAM', 'AIM2', 'PCNA', 'DPP4', 'CHKA', 'CD1D', 'CA12']"
doxorubicin,"['GALE', 'AKR1C2', 'PCTP', 'PROCR', 'NMNAT3', 'PGA4', 'HSD11B1', 'KCNAB2', 'RALA', 'TCN2', 'G6PD', 'AKR1C4', 'GRHPR', 'HPGD', 'NAA50', 'GIF', 'MUT', 'PTGR1', 'APOM', 'RPS6KB1', 'NME2', 'RBP4', 'CFTR', 'ACSS1', 'MAPK11', 'THRB', 'EGLN1', 'CD1D', 'NMT1', 'CD40LG', 'EGFR', 'PANK3', 'TXN', 'HIST1H3H', 'PANK1', 'MMACHC', 'PCNA', 'CD1D', 'PAK4', 'LY96', 'THEM4', 'MLST8']"
chlorambucil,"['ACADM', 'GALE', 'BPI', 'GSTA1', 'PFKFB1', 'RND3', 'ALDH2', 'CYB5R3', 'CRYZ', 'HSD17B4', 'DLD', 'GSTP1', 'TCN2', 'HTATIP2', 'GSTM2', 'PDK4', 'PHGDH', 'TP53I3', 'NAA50', 'GIF', 'ACADS', 'MUT', 'RUVBL1', 'NME2', 'GAPDH', 'THRB', 'CD1D', 'GSTA4', 'PNMT', 'HSDL2', 'ARHGEF11', 'NCOA2', 'DHRS4', 'TXN', 'RELA', 'MMACHC', 'CYP2D6', 'PCNA', 'OPRL1', 'CD1D', 'NCOA1', 'PTPN9']"
streptozocin,"['ACADM', 'PROCR', 'BHMT', 'RFK', 'NMNAT3', 'CD1A', 'PGA4', 'ACAD8', 'GCDH', 'DCPS', 'AKR1B1', 'LSS', 'AKR1B10', 'IGHG1', 'GPD1L', 'GIF', 'ACADVL', 'MAOB', 'PTGR1', 'MAOA', 'TLR1', 'NME2', 'AKR1D1', 'F2', 'KYAT1', 'ACSS1', 'THRB', 'CD1D', 'NMT1', 'F10', 'CYCS', 'REN', 'RELA', 'IGHV3-23', 'PCNA', 'TCEB2', 'AKT1', 'CD1D', 'HIST1H3H', 'NCOA1', 'MMP9', 'SIRT1']"
chloroquine,"['QDPR', 'LDHB', 'PFKFB1', 'CTBP1', 'ACAD8', 'ECI1', 'SPR', 'HSD17B4', 'BDH2', 'MDH2', 'HPGD', 'HIBADH', 'STK10', 'HSD17B10', 'HSD17B8', 'GIF', 'UGDH', 'RTN4IP1', 'KDM1A', 'MUT', 'TLR1', 'NME2', 'AKR1D1', 'COMT', 'ADH4', 'GSR', 'CRYL1', 'MEPCE', 'THRB', 'GIF', 'PNMT', 'AHCYL1', 'HSP90AB1', 'DHRS4', 'PARP14', 'TXN', 'RNLS', 'CD1B', 'PCNA', 'LDHA', 'EIF2AK3', 'PRMT6']"
