target_chembl_ID,organism,tax_id,pref_name,component_synonym
CHEMBL2074,Homo sapiens,9606,Maltase-glucoamylase,MGAM
CHEMBL1827,Homo sapiens,9606,Phosphodiesterase 5A,PDE5A
CHEMBL1859,Homo sapiens,9606,Voltage-gated T-type calcium channel alpha-1H subunit,CACNA1H
CHEMBL202,Homo sapiens,9606,Dihydrofolate reductase,DHFR
CHEMBL1862,Homo sapiens,9606,Tyrosine-protein kinase ABL,ABL1
CHEMBL203,Homo sapiens,9606,Epidermal growth factor receptor erbB1,EGFR
CHEMBL204,Homo sapiens,9606,Thrombin,F2
CHEMBL1801,Homo sapiens,9606,Plasminogen,PLG
CHEMBL1910,Homo sapiens,9606,Adenosine deaminase,ADA
CHEMBL205,Homo sapiens,9606,Carbonic anhydrase II,CA2
CHEMBL1950,Homo sapiens,9606,Antithrombin-III,SERPINC1
CHEMBL206,Homo sapiens,9606,Estrogen receptor alpha,ESR1
CHEMBL2051,Influenza A virus (A/Puerto Rico/8/1934(H1N1)),211044,Neuraminidase,NA
CHEMBL2052,Influenza A virus (A/Udorn/307/1972(H3N2)),381517,Influenza virus A matrix protein M2,M
CHEMBL2000,Homo sapiens,9606,Plasma kallikrein,KLKB1
CHEMBL402,Homo sapiens,9606,HMG-CoA reductase,HMGCR
CHEMBL2034,Homo sapiens,9606,Glucocorticoid receptor,NR3C1
CHEMBL1952,Homo sapiens,9606,Thymidylate synthase,TYMS
CHEMBL1935,Homo sapiens,9606,Aldehyde dehydrogenase,ALDH2
CHEMBL2033,Homo sapiens,9606,Cytochrome P450 11A1,CYP11A1
CHEMBL1981,Homo sapiens,9606,Insulin receptor,INSR
CHEMBL208,Homo sapiens,9606,Progesterone receptor,PGR
CHEMBL1969,Homo sapiens,9606,Tyrosine 3-hydroxylase,TH
CHEMBL1839,Homo sapiens,9606,Thyroid peroxidase,TPO
CHEMBL210,Homo sapiens,9606,Beta-2 adrenergic receptor,ADRB2
CHEMBL211,Homo sapiens,9606,Muscarinic acetylcholine receptor M2,CHRM2
CHEMBL1994,Homo sapiens,9606,Mineralocorticoid receptor,NR3C2
CHEMBL213,Homo sapiens,9606,Beta-1 adrenergic receptor,ADRB1
CHEMBL214,Homo sapiens,9606,Serotonin 1a (5-HT1a) receptor,HTR1A
CHEMBL215,Homo sapiens,9606,Arachidonate 5-lipoxygenase,ALOX5
CHEMBL1871,Homo sapiens,9606,Androgen Receptor,AR
CHEMBL2055,Homo sapiens,9606,Retinoic acid receptor alpha,RARA
CHEMBL1780,Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast),237561,Cytochrome P450 51,ERG11
CHEMBL1976,Homo sapiens,9606,Growth hormone receptor,GHR
CHEMBL216,Homo sapiens,9606,Muscarinic acetylcholine receptor M1,CHRM1
CHEMBL1781,Homo sapiens,9606,DNA topoisomerase I,TOP1
CHEMBL1806,Homo sapiens,9606,DNA topoisomerase II alpha,TOP2A
CHEMBL1977,Homo sapiens,9606,Vitamin D receptor,VDR
CHEMBL1978,Homo sapiens,9606,Cytochrome P450 19A1,CYP19A1
CHEMBL1808,Homo sapiens,9606,Angiotensin-converting enzyme,ACE
CHEMBL1782,Homo sapiens,9606,Farnesyl diphosphate synthase,FDPS
CHEMBL217,Homo sapiens,9606,Dopamine D2 receptor,DRD2
CHEMBL1973,Homo sapiens,9606,Tyrosinase,TYR
CHEMBL1962,Homo sapiens,9606,GABA receptor alpha-1 subunit,GABRA1
CHEMBL1908,Homo sapiens,9606,Cytochrome P450 11B1,CYP11B1
CHEMBL1812,Homo sapiens,9606,Pancreatic lipase,PNLIP
CHEMBL1963,Homo sapiens,9606,Thyroid stimulating hormone receptor,TSHR
CHEMBL1902,Homo sapiens,9606,FK506-binding protein 1A,FKBP1A
CHEMBL1842,Homo sapiens,9606,Myeloid cell surface antigen CD33,CD33
CHEMBL1843,Homo sapiens,9606,DOPA decarboxylase,DDC
CHEMBL1822,Homo sapiens,9606,Inosine-5'-monophosphate dehydrogenase 1,IMPDH1
CHEMBL1951,Homo sapiens,9606,Monoamine oxidase A,MAOA
CHEMBL218,Homo sapiens,9606,Cannabinoid CB1 receptor,CNR1
CHEMBL2056,Homo sapiens,9606,Dopamine D1 receptor,DRD1
CHEMBL1846,Homo sapiens,9606,Ryanodine receptor 1,RYR1
CHEMBL219,Homo sapiens,9606,Dopamine D4 receptor,DRD4
CHEMBL2023,Homo sapiens,9606,Catechol O-methyltransferase,COMT
CHEMBL220,Homo sapiens,9606,Acetylcholinesterase,ACHE
CHEMBL1854,Homo sapiens,9606,Luteinizing hormone/Choriogonadotropin receptor,LHCGR
CHEMBL221,Homo sapiens,9606,Cyclooxygenase-1,PTGS1
CHEMBL2024,Homo sapiens,9606,Follicle stimulating hormone receptor,FSHR
CHEMBL222,Homo sapiens,9606,Norepinephrine transporter,SLC6A2
CHEMBL1941,Homo sapiens,9606,Histamine H2 receptor,HRH2
CHEMBL223,Homo sapiens,9606,Alpha-1d adrenergic receptor,ADRA1D
CHEMBL2039,Homo sapiens,9606,Monoamine oxidase B,MAOB
CHEMBL1983,Homo sapiens,9606,Serotonin 1d (5-HT1d) receptor,HTR1D
CHEMBL1898,Homo sapiens,9606,Serotonin 1b (5-HT1b) receptor,HTR1B
CHEMBL224,Homo sapiens,9606,Serotonin 2a (5-HT2a) receptor,HTR2A
CHEMBL225,Homo sapiens,9606,Serotonin 2c (5-HT2c) receptor,HTR2C
CHEMBL1984,Escherichia coli K-12,83333,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,murA
CHEMBL1786,Homo sapiens,9606,Inositol-1(or 4)-monophosphatase 1,IMPA1
CHEMBL1790,Homo sapiens,9606,Vasopressin V2 receptor,AVPR2
CHEMBL1903,Homo sapiens,9606,GABA transporter 1,SLC6A1
CHEMBL226,Homo sapiens,9606,Adenosine A1 receptor,ADORA1
CHEMBL227,Homo sapiens,9606,Type-1 angiotensin II receptor,AGTR1
CHEMBL2049,Homo sapiens,9606,Oxytocin receptor,OXTR
CHEMBL1804,Homo sapiens,9606,Somatostatin receptor 2,SSTR2
CHEMBL1855,Homo sapiens,9606,Gonadotropin-releasing hormone receptor,GNRHR
CHEMBL1832,Homo sapiens,9606,Calcitonin receptor,CALCR
CHEMBL1856,Homo sapiens,9606,Steroid 5-alpha-reductase 2,SRD5A2
CHEMBL228,Homo sapiens,9606,Serotonin transporter,SLC6A4
CHEMBL1888,Saccharomyces cerevisiae S288c,559292,Squalene monooxygenase,ERG1
CHEMBL1861,Homo sapiens,9606,4-hydroxyphenylpyruvate dioxygenase,HPD
CHEMBL1800,Homo sapiens,9606,Corticotropin releasing factor receptor 1,CRHR1
CHEMBL229,Homo sapiens,9606,Alpha-1a adrenergic receptor,ADRA1A
CHEMBL230,Homo sapiens,9606,Cyclooxygenase-2,PTGS2
CHEMBL231,Homo sapiens,9606,Histamine H1 receptor,HRH1
CHEMBL233,Homo sapiens,9606,Mu opioid receptor,OPRM1
CHEMBL234,Homo sapiens,9606,Dopamine D3 receptor,DRD3
CHEMBL235,Homo sapiens,9606,Peroxisome proliferator-activated receptor gamma,PPARG
CHEMBL1889,Homo sapiens,9606,Vasopressin V1a receptor,AVPR1A
CHEMBL236,Homo sapiens,9606,Delta opioid receptor,OPRD1
CHEMBL237,Homo sapiens,9606,Kappa opioid receptor,OPRK1
CHEMBL2014,Homo sapiens,9606,Nociceptin receptor,OPRL1
CHEMBL1982,Staphylococcus aureus,1280,Isoleucyl-tRNA synthetase,ileS
CHEMBL1987,Homo sapiens,9606,Prostanoid FP receptor,PTGFR
CHEMBL1881,Homo sapiens,9606,Prostanoid EP2 receptor,PTGER2
CHEMBL1995,Homo sapiens,9606,Prostanoid IP receptor,PTGIR
CHEMBL1899,Homo sapiens,9606,Serotonin 3a (5-HT3a) receptor,HTR3A
CHEMBL1849,Mycobacterium tuberculosis,1773,Enoyl-[acyl-carrier-protein] reductase,inhA
CHEMBL1985,Homo sapiens,9606,Glucagon receptor,GCGR
CHEMBL1925,Homo sapiens,9606,Secretin receptor,SCTR
CHEMBL1921,Homo sapiens,9606,Vasopressin V1b receptor,AVPR1B
CHEMBL1929,Homo sapiens,9606,Xanthine dehydrogenase,XDH
CHEMBL1919,Homo sapiens,9606,Voltage-gated calcium channel alpha2/delta subunit 1,CACNA2D1
CHEMBL1876,Homo sapiens,9606,Thiazide-sensitive sodium-chloride cotransporter,SLC12A3
CHEMBL1877,Mycobacterium tuberculosis,1773,Arabinosyltransferase A,embA
CHEMBL2044,Homo sapiens,9606,Gamma-amino-N-butyrate transaminase,ABAT
CHEMBL1965,Homo sapiens,9606,Melanocortin receptor 2,MC2R
CHEMBL238,Homo sapiens,9606,Dopamine transporter,SLC6A3
CHEMBL1966,Homo sapiens,9606,Dihydroorotate dehydrogenase,DHODH
CHEMBL2032,Homo sapiens,9606,Growth hormone-releasing hormone receptor,GHRHR
CHEMBL1777,Plasmodium falciparum,5833,Cytochrome b,MT-CYB
CHEMBL1793,Homo sapiens,9606,Parathyroid hormone receptor,PTH1R
CHEMBL1893,Homo sapiens,9606,Synaptic vesicular amine transporter,SLC18A2
CHEMBL239,Homo sapiens,9606,Peroxisome proliferator-activated receptor alpha,PPARA
CHEMBL240,Homo sapiens,9606,HERG,KCNH2
CHEMBL1972,Homo sapiens,9606,Glutamate [NMDA] receptor subunit epsilon 1,GRIN2A
CHEMBL1874,Homo sapiens,9606,Sodium-(potassium)-chloride cotransporter 2,SLC12A1
CHEMBL1875,Homo sapiens,9606,Serotonin 4 (5-HT4) receptor,HTR4
CHEMBL241,Homo sapiens,9606,Phosphodiesterase 3A,PDE3A
CHEMBL1927,Homo sapiens,9606,Thioredoxin reductase 1,TXNRD1
CHEMBL242,Homo sapiens,9606,Estrogen receptor beta,ESR2
CHEMBL1997,Homo sapiens,9606,Equilibrative nucleoside transporter 1,SLC29A1
CHEMBL2001,Homo sapiens,9606,Purinergic receptor P2Y12,P2RY12
CHEMBL1798,Homo sapiens,9606,Cysteinyl leukotriene receptor 1,CYSLTR1
CHEMBL1949,Homo sapiens,9606,Cyclophilin A,PPIA
CHEMBL2058,Homo sapiens,9606,B-lymphocyte antigen CD20,MS4A1
CHEMBL1778,Homo sapiens,9606,Interleukin-2 receptor alpha chain,IL2RA
CHEMBL1928,Hepatitis B virus adw2/Southern-Africa/Cai,489449,Major surface antigen,S
CHEMBL1892,Homo sapiens,9606,Glutamate carboxypeptidase II,FOLH1
CHEMBL1825,Homo sapiens,9606,TNF-alpha,TNF
CHEMBL1783,Homo sapiens,9606,Vascular endothelial growth factor A,VEGFA
CHEMBL1824,Homo sapiens,9606,Receptor protein-tyrosine kinase erbB-2,ERBB2
CHEMBL1803,Homo sapiens,9606,Leukocyte adhesion glycoprotein LFA-1 alpha,ITGAL
CHEMBL243,Human immunodeficiency virus 1,11676,Human immunodeficiency virus type 1 protease,pol
CHEMBL2016,Homo sapiens,9606,Coagulation factor IX,F9
CHEMBL244,Homo sapiens,9606,Coagulation factor X,F10
CHEMBL2059,Homo sapiens,9606,TNF-beta,LTA
CHEMBL2040,Homo sapiens,9606,T-cell surface antigen CD2,CD2
CHEMBL1913,Homo sapiens,9606,Platelet-derived growth factor receptor beta,PDGFRB
CHEMBL1959,Homo sapiens,9606,Interleukin-1 receptor,IL1R1
CHEMBL1887,Homo sapiens,9606,Interferon-alpha/beta receptor alpha chain,IFNAR1
CHEMBL1817,Homo sapiens,9606,Erythropoietin receptor,EPOR
CHEMBL1912,Homo sapiens,9606,CAMPATH-1 antigen,CD52
CHEMBL2050,Homo sapiens,9606,Interleukin 11 receptor alpha,IL11RA
CHEMBL1996,Homo sapiens,9606,Granulocyte colony stimulating factor receptor,CSF3R
CHEMBL1821,Homo sapiens,9606,Muscarinic acetylcholine receptor M4,CHRM4
CHEMBL1916,Homo sapiens,9606,Alpha-2c adrenergic receptor,ADRA2C
CHEMBL245,Homo sapiens,9606,Muscarinic acetylcholine receptor M3,CHRM3
CHEMBL1850,Homo sapiens,9606,Dopamine D5 receptor,DRD5
CHEMBL2062,Homo sapiens,9606,Ryanodine receptor 3,RYR3
CHEMBL1930,Homo sapiens,9606,Vitamin k epoxide reductase complex subunit 1 isoform 1,VKORC1
CHEMBL246,Homo sapiens,9606,Beta-3 adrenergic receptor,ADRB3
CHEMBL1833,Homo sapiens,9606,Serotonin 2b (5-HT2b) receptor,HTR2B
CHEMBL247,Human immunodeficiency virus 1,11676,Human immunodeficiency virus type 1 reverse transcriptase,pol
CHEMBL1834,Homo sapiens,9606,Ig epsilon chain C region,IGHE
CHEMBL1975,Homo sapiens,9606,T-cell surface glycoprotein CD3 epsilon chain,CD3E
CHEMBL1957,Homo sapiens,9606,Insulin-like growth factor I receptor,IGF1R
CHEMBL248,Homo sapiens,9606,Leukocyte elastase,ELANE
CHEMBL1944,Homo sapiens,9606,Neprilysin,MME
CHEMBL4618,Homo sapiens,9606,Leukotriene A4 hydrolase,LTA4H
CHEMBL1936,Homo sapiens,9606,Stem cell growth factor receptor,KIT
CHEMBL2003,Homo sapiens,9606,Retinoic acid receptor gamma,RARG
CHEMBL1900,Homo sapiens,9606,Aldose reductase,AKR1B1
CHEMBL1988,Homo sapiens,9606,Atrial natriuretic peptide receptor A,NPR1
CHEMBL1989,Homo sapiens,9606,Renal dipeptidase,DPEP1
CHEMBL2069,Homo sapiens,9606,Thromboxane A2 receptor,TBXA2R
CHEMBL1785,Homo sapiens,9606,Endothelin receptor ET-B,EDNRB
CHEMBL1835,Homo sapiens,9606,Thromboxane-A synthase,TBXAS1
CHEMBL252,Homo sapiens,9606,Endothelin receptor ET-A,EDNRA
CHEMBL249,Homo sapiens,9606,Neurokinin 1 receptor,TACR1
CHEMBL250,Homo sapiens,9606,Platelet activating factor receptor,PTAFR
CHEMBL251,Homo sapiens,9606,Adenosine A2a receptor,ADORA2A
CHEMBL253,Homo sapiens,9606,Cannabinoid CB2 receptor,CNR2
CHEMBL1810,Homo sapiens,9606,Thyrotropin-releasing hormone receptor,TRHR
CHEMBL1811,Homo sapiens,9606,Prostanoid EP1 receptor,PTGER1
CHEMBL1836,Homo sapiens,9606,Prostanoid EP4 receptor,PTGER4
CHEMBL1864,Homo sapiens,9606,Thrombopoietin receptor,MPL
CHEMBL2008,Homo sapiens,9606,Retinoic acid receptor beta,RARB
CHEMBL1947,Homo sapiens,9606,Thyroid hormone receptor beta-1,THRB
